"type","er.mn","er.sd"
"hourly",0.258549684590456,0.0176258721628035
"hourly night",0.24107923857394,0.0162241473885785
"hourly no rain",0.262854683664214,0.0153119281436601
"mean",0.227174329582249,0.0157956389983524
"mean w fudge factors",0.250116396078156,0.0157064177113323
