"yr","date","h3grp","time","wind.2m","rain.rate","air.temp","date.time","ct","rain.cum","sim","man.dm","man.ph","app.rate.ni","tan.app","f0","r1","r2","r3","f4","f","s","j","e","e.int","er"
2014,2014-04-01,3,12,3.75834899291784,0,5.2,2014-04-01 12:00:00,3,0,1,6.5,7,30,100,0.322934597685581,0.0175285569712815,0.0158786853066665,0.000449353106180681,1,29.2138525432311,69.0780845284284,0.569354309446812,1.70806292834044,1.70806292834044,0.0170806292834044
2014,2014-04-01,4,15,3.40041099359233,0,6.96666666666667,2014-04-01 15:00:00,6,0,1,6.5,7,30,100,0.322934597685581,0.0208874401079615,0.0158786853066665,0.000449353106180681,1,26.1629587616428,70.3017527579367,0.609075184026715,3.53528848042058,1.82722555208014,0.0353528848042058
2014,2014-04-01,5,18,3.32370999373686,0,6.93333333333333,2014-04-01 18:00:00,9,0,1,6.5,7,30,100,0.322934597685581,0.0202259137193117,0.0158786853066665,0.000449353106180681,1,23.4772255479413,71.3874122628246,0.533357902937864,5.13536218923417,1.60007370881359,0.0513536218923417
2014,2014-04-01,6,21,2.22432899580852,0,4.86666666666667,2014-04-01 21:00:00,12,0,1,6.5,7,30,100,0.322934597685581,0.00974359094532988,0.0158786853066665,0.000449353106180681,1,21.7402199050315,72.3669685130226,0.252483130903908,5.8928115819459,0.757449392711724,0.0589281158194589
2014,2014-04-01,7,24,2.19876199585669,0,2.96666666666667,2014-04-02 00:00:00,15,0,1,6.5,7,30,100,0.322934597685581,0.00700077428941336,0.0158786853066665,0.000449353106180681,1,20.2980661523835,73.2696734006587,0.179816288337315,6.43226044695784,0.539448865011945,0.0643226044695784
2014,2014-04-02,0,3,2.47999899532673,0,2.03333333333333,2014-04-02 03:00:00,18,0,1,6.5,7,30,100,0.322934597685581,0.00658820253589447,0.0158786853066665,0.000449353106180681,1,18.9750499284354,74.1053852536269,0.162434790326626,6.91956481793772,0.487304370979878,0.0691956481793772
2014,2014-04-02,1,6,2.47999899532674,0,2.36666666666667,2014-04-02 06:00:00,21,0,1,6.5,7,30,100,0.322934597685581,0.00697077664457653,0.0158786853066665,0.000449353106180681,1,17.7179202108742,74.8785709367005,0.161314678162519,7.40350885242528,0.483944034487557,0.0740350885242528
2014,2014-04-02,2,9,3.06803999421864,0,3.6,2014-04-02 09:00:00,24,0,1,6.5,7,30,100,0.322934597685581,0.0105280291494369,0.0158786853066665,0.000449353106180681,1,16.3684618479927,75.5885903495043,0.213146316692593,8.04294780250305,0.639438950077778,0.0804294780250305
2014,2014-04-02,3,12,3.80948299282148,0,6.26666666666667,2014-04-02 12:00:00,27,0,1,6.5,7,30,100,0.322934597685581,0.0213734903524606,0.0158786853066665,0.000449353106180681,1,14.6376927687946,76.2239925944495,0.365122278084277,9.13831463675588,1.09536683425283,0.0913831463675588
2014,2014-04-02,4,15,3.47711199344779,1.56666666666667,5.73333333333333,2014-04-02 15:00:00,30,0.783333333333333,1,6.5,7,30,100,0.322934597685581,0.0174063706789941,0.0657831977427611,0.000449353106180681,1,11.4047643449318,78.6759922610241,0.260309585762765,9.91924339404418,0.780928757288294,0.0991924339404418
2014,2014-04-02,5,18,3.27257599383322,0.0333333333333333,5.3,2014-04-02 18:00:00,33,1.58333333333333,1,6.5,7,30,100,0.322934597685581,0.0150697026079743,0.0163662278677447,0.000449353106180681,1,10.3783655270218,79.1040036462398,0.199462477564759,10.5176308267385,0.598387432694278,0.105176308267385
