Station,date,temp,prec
6,1-1980,-2.6,34
6,2-1980,-2.7,37
6,3-1980,-0.1,32
6,4-1980,6.2,16
6,5-1980,10.8,20
6,6-1980,14.7,121
6,7-1980,16.1,52
6,8-1980,15.2,105
6,9-1980,13,62
6,10-1980,7.2,97
6,11-1980,2.9,80
6,12-1980,2.2,72
6,1-1981,-0.9,55
6,2-1981,0.2,38
6,3-1981,1.7,89
6,4-1981,5.1,8
6,5-1981,12.2,64
6,6-1981,13.3,113
6,7-1981,15,83
6,8-1981,14.9,46
6,9-1981,13.4,68
6,10-1981,7.2,96
6,11-1981,4.5,127
6,12-1981,-5.2,34
6,1-1982,-4.5,38
6,2-1982,-0.7,9
6,3-1982,3.7,43
6,4-1982,6,12
6,5-1982,10.1,85
6,6-1982,13.4,56
6,7-1982,16.6,35
6,8-1982,16.2,81
6,9-1982,13.1,84
6,10-1982,9.6,90
6,11-1982,6,67
6,12-1982,2.2,77
6,1-1983,4.3,60
6,2-1983,-1.6,16
6,3-1983,3.2,75
6,4-1983,6.4,62
6,5-1983,9.9,136
6,6-1983,13.5,26
6,7-1983,16.6,41
6,8-1983,16.2,23
6,9-1983,12.7,147
6,10-1983,9.1,93
6,11-1983,3.8,43
6,12-1983,1.8,45
6,1-1984,-0.4,94
6,2-1984,-0.1,31
6,3-1984,0.8,30
6,4-1984,6,12
6,5-1984,11.3,26
6,6-1984,13.8,64
6,7-1984,15.5,23
6,8-1984,16.4,63
6,9-1984,11.1,83
6,10-1984,10.2,147
6,11-1984,5.9,77
6,12-1984,2.9,56
6,1-1985,-6.6,33.9
6,2-1985,-5.1,13.8
6,3-1985,1,45.2
6,4-1985,4.1,67.6
6,5-1985,10.8,22.4
6,6-1985,13,77.4
6,7-1985,15.3,58.7
6,8-1985,15.1,85.8
6,9-1985,11.2,106.4
6,10-1985,9.6,32
6,11-1985,1.6,44.9
6,12-1985,1.4,145.1
6,1-1986,-2.8,73.2
6,2-1986,-5.9,1.3
6,3-1986,1.5,66.9
6,4-1986,4.1,25.1
6,5-1986,11.2,54.7
6,6-1986,14.4,22
6,7-1986,15.3,23.1
6,8-1986,14.4,108.4
6,9-1986,9.7,28.8
6,10-1986,8.4,68.2
6,11-1986,6.3,73.8
6,12-1986,2,68.9
6,1-1987,-5.6,16.5
6,2-1987,-0.8,35.9
6,3-1987,-3.8,54.6
6,4-1987,6.3,33.9
6,5-1987,9.2,20.8
6,6-1987,11.3,97.8
6,7-1987,14.6,110.8
6,8-1987,14,74.1
6,9-1987,11.3,66.5
6,10-1987,9,102.2
6,11-1987,4.6,84.3
6,12-1987,2.6,48.4
6,1-1988,3.1,138.9
6,2-1988,2,78.4
6,3-1988,0.8,53.5
6,4-1988,4.6,24.3
6,5-1988,11.7,21.1
6,6-1988,15.7,88.9
6,7-1988,15.7,124.1
6,8-1988,14.8,84.6
6,9-1988,13,73.4
6,10-1988,7.8,55.9
6,11-1988,2.9,40.2
6,12-1988,3.4,51
6,1-1989,5.2,16.4
6,2-1989,4.4,67.5
6,3-1989,5.2,68.9
6,4-1989,5.6,34.6
6,5-1989,10.7,48.7
6,6-1989,13.7,26.9
6,7-1989,16.4,27.6
6,8-1989,14.6,41.8
6,9-1989,12.6,32.4
6,10-1989,9.6,93.6
6,11-1989,4.2,19.7
6,12-1989,2.3,50.7
