station,date,time,prec,metp,meanwv
6069,01-04-2014,0,0,2.6,0.4
6069,01-04-2014,1,0,2.5,1.2
6069,01-04-2014,2,0,2.2,1.7
6069,01-04-2014,3,0,2.3,1.6
6069,01-04-2014,4,0,3.4,1.8
6069,01-04-2014,5,0,3.8,2.7
6069,01-04-2014,6,0,3.6,2.8
6069,01-04-2014,7,0,3.8,3
6069,01-04-2014,8,0,3.5,3.8
6069,01-04-2014,9,0,4.6,4.5
6069,01-04-2014,10,0,5.3,5.4
6069,01-04-2014,11,0,5.7,4.8
6069,01-04-2014,12,0,5.8,4.3
6069,01-04-2014,13,0,7.1,4.2
6069,01-04-2014,14,0,8,4.8
6069,01-04-2014,15,0,7.8,4.5
6069,01-04-2014,16,0,6.9,4.5
6069,01-04-2014,17,0,6.1,4
6069,01-04-2014,18,0,5.4,3.3
6069,01-04-2014,19,0,4.8,2.8
6069,01-04-2014,20,0,4.4,2.6
6069,01-04-2014,21,0,3.7,2.8
6069,01-04-2014,22,0,2.8,2.7
6069,01-04-2014,23,0,2.4,3.1
6069,02-04-2014,0,0,1.8,2.9
6069,02-04-2014,1,0,2.2,3.4
6069,02-04-2014,2,0,2.1,3.4
6069,02-04-2014,3,0,2.2,3.2
6069,02-04-2014,4,0,2.3,3.3
6069,02-04-2014,5,0,2.6,3.2
6069,02-04-2014,6,0,2.9,2.9
6069,02-04-2014,7,0,3.6,4.2
6069,02-04-2014,8,0,4.3,4.9
6069,02-04-2014,9,0,5.4,4.5
6069,02-04-2014,10,0,6.4,4.9
6069,02-04-2014,11,0,7,5.5
6069,02-04-2014,12,0,6.9,5.1
6069,02-04-2014,13,2.2,5.7,4.4
6069,02-04-2014,14,2.5,4.6,4.1
6069,02-04-2014,15,0.1,5.1,4.7
6069,02-04-2014,16,0,5.3,4.4
6069,02-04-2014,17,0,5.5,3.7
6069,02-04-2014,18,0,5.3,3.1
6069,02-04-2014,19,0,4.6,2.7
6069,02-04-2014,20,0,4.2,2.1
6069,02-04-2014,21,0,3.3,2.4
6069,02-04-2014,22,0,2.3,1.6
6069,02-04-2014,23,0,1.7,1.7
6069,03-04-2014,0,0,1.4,2
6069,03-04-2014,1,0,1.3,1.9
6069,03-04-2014,2,0,1.7,1.8
6069,03-04-2014,3,0,2.1,2.7
6069,03-04-2014,4,0,3.1,3.1
6069,03-04-2014,5,0,3.3,2.8
6069,03-04-2014,6,0,3.2,3
6069,03-04-2014,7,0,3.4,2.8
6069,03-04-2014,8,0,4.6,3.6
6069,03-04-2014,9,0,6.2,4.5
6069,03-04-2014,10,0,7.1,5.1
6069,03-04-2014,11,0,7.8,5.3
6069,03-04-2014,12,0,8.6,5.1
6069,03-04-2014,13,0,9.3,5
6069,03-04-2014,14,0,9.6,5.1
6069,03-04-2014,15,0,9.5,5.2
6069,03-04-2014,16,0,8.8,4.7
6069,03-04-2014,17,0,8.3,3.7
6069,03-04-2014,18,0,7.4,2.5
6069,03-04-2014,19,0,5.7,2.1
6069,03-04-2014,20,0,4,1.2
6069,03-04-2014,21,0,2.9,1
6069,03-04-2014,22,0,2.8,1.4
6069,03-04-2014,23,0,2.6,1.4
6069,04-04-2014,0,0,2,1.7
6069,04-04-2014,1,0,1.2,1
6069,04-04-2014,2,0,1.4,1.9
6069,04-04-2014,3,0,1.6,2.4
6069,04-04-2014,4,0,0.6,2.3
6069,04-04-2014,5,0,0.2,1.8
6069,04-04-2014,6,0,0.5,2.7
6069,04-04-2014,7,0,2.2,3.3
6069,04-04-2014,8,0,4.1,4.4
6069,04-04-2014,9,0,5.6,6.5
6069,04-04-2014,10,0,5.9,7.6
6069,04-04-2014,11,0,6.4,7.5
6069,04-04-2014,12,0,6.4,7.4
6069,04-04-2014,13,0,6.8,7.5
6069,04-04-2014,14,0,7.3,8
6069,04-04-2014,15,0,7.3,7.7
6069,04-04-2014,16,0,7.2,7.4
6069,04-04-2014,17,0,6.3,6.7
6069,04-04-2014,18,0,5.3,5.6
6069,04-04-2014,19,0,4.5,4.7
6069,04-04-2014,20,0,3.8,4.2
6069,04-04-2014,21,0,3.7,5.1
6069,04-04-2014,22,0,3.3,4.6
6069,04-04-2014,23,0,2.8,4.6
6069,05-04-2014,0,0,2.7,5.1
6069,05-04-2014,1,0,2.8,4.5
6069,05-04-2014,2,0,3,4.2
6069,05-04-2014,3,0,3,4.7
6069,05-04-2014,4,0,3.3,4.8
6069,05-04-2014,5,0,3.6,4.8
