station,date,time,prec,metp,meanwv
6069,01-04-2019,0,0,-1.3,0.9
6069,01-04-2019,1,0,-1.6,1.1
6069,01-04-2019,2,0,-2,0.8
6069,01-04-2019,3,0,-2.6,1
6069,01-04-2019,4,0,-3,0.8
6069,01-04-2019,5,0,-3.4,0.9
6069,01-04-2019,6,0,-3.4,0.9
6069,01-04-2019,7,0,-1.6,0.8
6069,01-04-2019,8,0,1.1,1.5
6069,01-04-2019,9,0,3.8,2.5
6069,01-04-2019,10,0,5.3,3.8
6069,01-04-2019,11,0,6,4.3
6069,01-04-2019,12,0,6.6,4.2
6069,01-04-2019,13,0,7.3,4.2
6069,01-04-2019,14,0,7.6,4
6069,01-04-2019,15,0,7.6,4.4
6069,01-04-2019,16,0,7.4,4.5
6069,01-04-2019,17,0,6.8,5.1
6069,01-04-2019,18,0,5.4,4.7
6069,01-04-2019,19,0,3.8,3.5
6069,01-04-2019,20,0,2.6,3.1
6069,01-04-2019,21,0,1.5,3.2
6069,01-04-2019,22,0,0.8,3.2
6069,01-04-2019,23,0,0.3,3.3
6069,02-04-2019,0,0,0.5,3.5
6069,02-04-2019,1,0,1.2,4.4
6069,02-04-2019,2,0,1.5,4.6
6069,02-04-2019,3,0,1.7,4.5
6069,02-04-2019,4,0,1.7,4.7
6069,02-04-2019,5,0,2.1,5.1
6069,02-04-2019,6,0,2.4,4.8
6069,02-04-2019,7,0,3.7,4.8
6069,02-04-2019,8,0,5.5,6.6
6069,02-04-2019,9,0,6.6,7.5
6069,02-04-2019,10,0,7.6,8.6
6069,02-04-2019,11,0,8.4,9.7
6069,02-04-2019,12,0,9.5,9.3
6069,02-04-2019,13,0,10.3,10.3
6069,02-04-2019,14,0,10.4,10.4
6069,02-04-2019,15,0,9.5,8.8
6069,02-04-2019,16,0,8.5,9.4
6069,02-04-2019,17,0,7.4,8.5
6069,02-04-2019,18,0,6.9,6.6
6069,02-04-2019,19,0,6.3,6.2
6069,02-04-2019,20,0,6.1,6.1
6069,02-04-2019,21,0,6.5,6.3
6069,02-04-2019,22,0,6.8,6.4
6069,02-04-2019,23,0,6.5,5.6
6069,03-04-2019,0,0,6.2,5
6069,03-04-2019,1,0,6.2,4.4
6069,03-04-2019,2,0,6.9,5
6069,03-04-2019,3,0,6.7,5.7
6069,03-04-2019,4,0,6.2,5
6069,03-04-2019,5,0,6.3,3.5
6069,03-04-2019,6,0,6.5,3.1
6069,03-04-2019,7,0,6.9,2.8
6069,03-04-2019,8,0,8.1,3.1
6069,03-04-2019,9,0,8.9,2.9
6069,03-04-2019,10,0,10.1,2.5
6069,03-04-2019,11,0,11.5,2.5
6069,03-04-2019,12,0,12.8,2.8
6069,03-04-2019,13,0,13,3.6
6069,03-04-2019,14,0,12.4,4.7
6069,03-04-2019,15,0,10.7,3.2
6069,03-04-2019,16,0,9.8,3.1
6069,03-04-2019,17,0.1,9.2,2.8
6069,03-04-2019,18,0.1,8.8,1.9
6069,03-04-2019,19,0,8.4,2.2
6069,03-04-2019,20,0,7.9,2.1
6069,03-04-2019,21,0,7.2,2.1
6069,03-04-2019,22,0,6.7,2.6
6069,03-04-2019,23,0,6,2.6
6069,04-04-2019,0,0,5.5,2.7
6069,04-04-2019,1,0,4.9,1.9
6069,04-04-2019,2,0,5,2.9
6069,04-04-2019,3,0,5.5,3.9
6069,04-04-2019,4,0,5.5,4.2
6069,04-04-2019,5,0,5.3,4.1
6069,04-04-2019,6,0,5.4,4.3
6069,04-04-2019,7,0,6.3,5.3
6069,04-04-2019,8,0,7.7,5.2
6069,04-04-2019,9,0,8.9,5.2
6069,04-04-2019,10,0,10.3,4.9
6069,04-04-2019,11,0,11.1,5.1
6069,04-04-2019,12,0,11.7,5.2
6069,04-04-2019,13,0,11.9,5.3
6069,04-04-2019,14,0,12.6,5.4
6069,04-04-2019,15,0,13,5.2
6069,04-04-2019,16,0,13,4.6
6069,04-04-2019,17,0,12.6,4.5
6069,04-04-2019,18,0,10.9,3.6
6069,04-04-2019,19,0,9,3.1
6069,04-04-2019,20,0,7.7,3.4
6069,04-04-2019,21,0,7,3.5
6069,04-04-2019,22,0,6.8,2.9
6069,04-04-2019,23,0,6.7,2.4
6069,05-04-2019,0,0,6.3,1.8
6069,05-04-2019,1,0,5.6,2.7
6069,05-04-2019,2,0,5.3,3.2
6069,05-04-2019,3,0,5,2.3
6069,05-04-2019,4,0,4.9,2.7
6069,05-04-2019,5,0,5,3
6069,05-04-2019,6,0,5.3,3.6
6069,05-04-2019,7,0,6.3,2.9
6069,05-04-2019,8,0,7.2,2.7
