station,date,time,prec,metp,meanwv
6069,01-04-2016,0,0,0.7,2.1
6069,01-04-2016,1,0,0.9,2
6069,01-04-2016,2,0,0.8,1.9
6069,01-04-2016,3,0,0.1,1.1
6069,01-04-2016,4,0,-0.5,0.3
6069,01-04-2016,5,0,-0.8,0.3
6069,01-04-2016,6,0,-1,0.9
6069,01-04-2016,7,0,0.2,2.1
6069,01-04-2016,8,0,2.5,1.9
6069,01-04-2016,9,0,4.4,2
6069,01-04-2016,10,0,5.7,2.8
6069,01-04-2016,11,0,6.8,2.9
6069,01-04-2016,12,0,7.9,3.2
6069,01-04-2016,13,0,8.7,2.8
6069,01-04-2016,14,0.6,9.1,3.1
6069,01-04-2016,15,0,9.5,3.1
6069,01-04-2016,16,0,9,2.9
6069,01-04-2016,17,0,8.1,2.6
6069,01-04-2016,18,0,7.2,1.3
6069,01-04-2016,19,0,6.3,1.3
6069,01-04-2016,20,0,5.6,1.3
6069,01-04-2016,21,0,4.9,1.2
6069,01-04-2016,22,0,4.5,2.2
6069,01-04-2016,23,0,4.4,2.8
6069,02-04-2016,0,0,4,3.7
6069,02-04-2016,1,0,4,3.7
6069,02-04-2016,2,0,4,3.5
6069,02-04-2016,3,0,4.3,3.5
6069,02-04-2016,4,0,4.5,3.7
6069,02-04-2016,5,0,5,4.1
6069,02-04-2016,6,0,5.4,4
6069,02-04-2016,7,0,5.9,4.1
6069,02-04-2016,8,0,6.9,4.6
6069,02-04-2016,9,0,8.1,4.9
6069,02-04-2016,10,0,9.6,4.9
6069,02-04-2016,11,0,11.1,4.9
6069,02-04-2016,12,0,12.1,5.2
6069,02-04-2016,13,0,12.6,4.4
6069,02-04-2016,14,0,12.8,4.3
6069,02-04-2016,15,0,12.8,3.8
6069,02-04-2016,16,0,12.6,3.8
6069,02-04-2016,17,0,11.8,3.2
6069,02-04-2016,18,0,10.8,2.2
6069,02-04-2016,19,0,9.7,1.6
6069,02-04-2016,20,0,8.7,0.5
6069,02-04-2016,21,0,7.7,0.3
6069,02-04-2016,22,0,6.6,0.2
6069,02-04-2016,23,0,5.1,0.2
6069,03-04-2016,0,0,5.3,0.5
6069,03-04-2016,1,0,5.2,0.3
6069,03-04-2016,2,0,4.6,0.3
6069,03-04-2016,3,0,4.1,0.5
6069,03-04-2016,4,0,4.4,0.4
6069,03-04-2016,5,0,5.1,0.2
6069,03-04-2016,6,0,5.2,1.4
6069,03-04-2016,7,0,5.8,1.9
6069,03-04-2016,8,0.4,6.2,1.7
6069,03-04-2016,9,0.2,6.4,2.8
6069,03-04-2016,10,0,7.6,4.4
6069,03-04-2016,11,0,9.4,5
6069,03-04-2016,12,0,11.1,5.2
6069,03-04-2016,13,0,11.4,4.8
6069,03-04-2016,14,0,12.1,4.1
6069,03-04-2016,15,0,12.2,3.7
6069,03-04-2016,16,0,12,2.5
6069,03-04-2016,17,0,11.5,3.2
6069,03-04-2016,18,0,10.9,3.4
6069,03-04-2016,19,0,10,2.4
6069,03-04-2016,20,0,9.5,1.4
6069,03-04-2016,21,0,8.7,0.7
6069,03-04-2016,22,0,7.5,0.7
6069,03-04-2016,23,0,6.8,0.8
6069,04-04-2016,0,0,6.1,0.7
6069,04-04-2016,1,0,3.9,0.4
6069,04-04-2016,2,0,3.8,0.3
6069,04-04-2016,3,0,4,1.1
6069,04-04-2016,4,0,3.6,1
6069,04-04-2016,5,0,3.4,1.1
6069,04-04-2016,6,0,3.7,0.8
6069,04-04-2016,7,0,5,1.5
6069,04-04-2016,8,0,6.7,2.8
6069,04-04-2016,9,0.5,7.4,2.4
6069,04-04-2016,10,1.9,7.6,2.6
6069,04-04-2016,11,0.2,8.4,3.6
6069,04-04-2016,12,0,10.6,4.4
6069,04-04-2016,13,0,12.9,4.3
6069,04-04-2016,14,0,13.6,4.8
6069,04-04-2016,15,0,13.2,4.1
6069,04-04-2016,16,0,13.1,4.7
6069,04-04-2016,17,0,12.5,3.8
6069,04-04-2016,18,0,11.8,2.9
6069,04-04-2016,19,2.2,10.6,3.6
6069,04-04-2016,20,0.7,10.3,4.4
6069,04-04-2016,21,0,10,3.7
6069,04-04-2016,22,0,10.1,2.9
6069,04-04-2016,23,0,9.5,4.1
6069,05-04-2016,0,0,8.2,3.4
6069,05-04-2016,1,0,7.3,2.8
6069,05-04-2016,2,0,7,2.9
6069,05-04-2016,3,0,6.7,2.5
6069,05-04-2016,4,0,6.4,2
6069,05-04-2016,5,0,6.2,1.2
6069,05-04-2016,6,0,6,0.9
6069,05-04-2016,7,0,6,1.7
6069,05-04-2016,8,0,6,2.3
6069,05-04-2016,9,0,6.9,2.5
6069,05-04-2016,10,0,7.9,2.3
6069,05-04-2016,11,0,9.2,2.4
6069,05-04-2016,12,0,10.1,2.3
6069,05-04-2016,13,0,10.3,2.8
6069,05-04-2016,14,0.5,9.8,3
6069,05-04-2016,15,1,8.7,2.8
6069,05-04-2016,16,1.7,8.1,2.6
6069,05-04-2016,17,0.9,7.7,1.5
6069,05-04-2016,18,1.2,7.4,0.3
6069,05-04-2016,19,1.2,7.1,0.7
6069,05-04-2016,20,1.5,7.1,0.2
6069,05-04-2016,21,1.1,7,0.2
6069,05-04-2016,22,1.3,6.9,1.1
6069,05-04-2016,23,1.3,6.8,1.6
6069,06-04-2016,0,1.1,6.6,1.2
6069,06-04-2016,1,1.4,6.4,0.8
6069,06-04-2016,2,1.2,6.3,1.5
6069,06-04-2016,3,0.4,6.1,4.2
6069,06-04-2016,4,0,5.6,2.9
6069,06-04-2016,5,0,5.7,2.4
6069,06-04-2016,6,0.1,6,3.9
6069,06-04-2016,7,0,6.1,5.4
6069,06-04-2016,8,0,6.4,4.9
6069,06-04-2016,9,0,6.6,4.5
6069,06-04-2016,10,0,6.9,4.4
6069,06-04-2016,11,0,7.2,5
6069,06-04-2016,12,0,8.1,4.7
6069,06-04-2016,13,0,9.2,5.1
6069,06-04-2016,14,0,9.2,6
6069,06-04-2016,15,0,9.2,5.9
6069,06-04-2016,16,0,8.4,4.2
6069,06-04-2016,17,0.4,7.5,3.5
6069,06-04-2016,18,0.6,6.8,3.9
6069,06-04-2016,19,0.1,6,2.4
6069,06-04-2016,20,0.3,5.9,3.7
6069,06-04-2016,21,1.7,6.1,3
6069,06-04-2016,22,1.2,6.2,3
6069,06-04-2016,23,0.1,5.6,2.9
6069,07-04-2016,0,0,4.9,2.2
6069,07-04-2016,1,0.9,4.9,3.1
6069,07-04-2016,2,2,4,4.5
6069,07-04-2016,3,0.2,3.6,2.3
6069,07-04-2016,4,0,3.6,3.3
6069,07-04-2016,5,0,3.9,4
6069,07-04-2016,6,0,4,4.5
6069,07-04-2016,7,0.1,4.5,3.6
6069,07-04-2016,8,0.1,5.4,4
6069,07-04-2016,9,0,5.7,4.8
6069,07-04-2016,10,0.8,4.7,3.9
6069,07-04-2016,11,1.2,5.1,5.3
6069,07-04-2016,12,0.3,4.7,3.5
6069,07-04-2016,13,0.7,5.6,4.5
