station,date,time,prec,metp,meanwv
6069,01-04-2017,0,0,10.2,3
6069,01-04-2017,1,0,9.7,2.4
6069,01-04-2017,2,0,9.4,2.9
6069,01-04-2017,3,0,8.8,2.2
6069,01-04-2017,4,0,8.4,2.7
6069,01-04-2017,5,0,8.4,1.7
6069,01-04-2017,6,0,8.4,2
6069,01-04-2017,7,0,8.6,2.6
6069,01-04-2017,8,0,8.8,3.3
6069,01-04-2017,9,0,9.7,2.8
6069,01-04-2017,10,0,11.2,3.5
6069,01-04-2017,11,0,12.8,3.7
6069,01-04-2017,12,0,14.3,3.5
6069,01-04-2017,13,0,15.1,4.3
6069,01-04-2017,14,0,15.1,4.5
6069,01-04-2017,15,0,14.9,4.2
6069,01-04-2017,16,0,14.7,3.8
6069,01-04-2017,17,0,13.6,3.2
6069,01-04-2017,18,0,12.7,2.5
6069,01-04-2017,19,0,11.5,1.9
6069,01-04-2017,20,0,10.3,1.2
6069,01-04-2017,21,0,8.9,0.9
6069,01-04-2017,22,0,7.6,0.7
6069,01-04-2017,23,0,7.2,1.1
6069,02-04-2017,0,0,7.3,0.6
6069,02-04-2017,1,0,7.4,0.6
6069,02-04-2017,2,0,7.6,0.6
6069,02-04-2017,3,0,7.7,0.6
6069,02-04-2017,4,0,7.6,1.2
6069,02-04-2017,5,0,7.5,1.1
6069,02-04-2017,6,0,7.6,0.9
6069,02-04-2017,7,0,8.1,0.9
6069,02-04-2017,8,0,9.3,1.5
6069,02-04-2017,9,0,10.6,1.3
6069,02-04-2017,10,0,11.5,1.4
6069,02-04-2017,11,0,11.8,3.4
6069,02-04-2017,12,0,11.3,4.3
6069,02-04-2017,13,0,11.8,4.1
6069,02-04-2017,14,0,11.6,3.7
6069,02-04-2017,15,0,11.5,4.3
6069,02-04-2017,16,0,11,4.3
6069,02-04-2017,17,0,9,5
6069,02-04-2017,18,0,7.9,4.4
6069,02-04-2017,19,0,7.2,4.2
6069,02-04-2017,20,0,7.3,3.3
6069,02-04-2017,21,0,7.3,4.2
6069,02-04-2017,22,0,6.3,3.6
6069,02-04-2017,23,0,5.5,3.5
6069,03-04-2017,0,0,4.8,2.6
6069,03-04-2017,1,0,4.4,3.3
6069,03-04-2017,2,0,4,2.8
6069,03-04-2017,3,0,3.5,2.2
6069,03-04-2017,4,0,3.1,2.5
6069,03-04-2017,5,0,3,2.4
6069,03-04-2017,6,0,3.2,2.8
6069,03-04-2017,7,0,4.5,3.1
6069,03-04-2017,8,0,6.1,4.3
6069,03-04-2017,9,0,7.4,4.4
6069,03-04-2017,10,0,8.4,4.3
6069,03-04-2017,11,0,8.8,4.2
6069,03-04-2017,12,0,9.6,3.9
6069,03-04-2017,13,0,9.8,3.2
6069,03-04-2017,14,0,10.3,3.2
6069,03-04-2017,15,0,10.5,3.2
6069,03-04-2017,16,0,10,3.2
6069,03-04-2017,17,0,9.4,2.7
6069,03-04-2017,18,0,8.5,2.2
6069,03-04-2017,19,0,6.7,2
6069,03-04-2017,20,0,5.4,1.7
6069,03-04-2017,21,0,4.1,1.8
6069,03-04-2017,22,0,3.8,1.8
6069,03-04-2017,23,0,3.6,1.4
6069,04-04-2017,0,0,3.1,1.2
6069,04-04-2017,1,0,2.6,2.3
6069,04-04-2017,2,0,2,2.6
6069,04-04-2017,3,0,1.6,2.5
6069,04-04-2017,4,0,1.3,1.5
6069,04-04-2017,5,0,0.8,1.7
6069,04-04-2017,6,0,0.4,1.7
6069,04-04-2017,7,0,1.2,2.6
6069,04-04-2017,8,0,3.7,3.1
6069,04-04-2017,9,0,7.4,3.9
6069,04-04-2017,10,0,10.3,4.2
6069,04-04-2017,11,0,11.8,4.7
6069,04-04-2017,12,0,13.1,4.1
6069,04-04-2017,13,0,13.6,4.2
6069,04-04-2017,14,0,14.1,5
6069,04-04-2017,15,0,13.8,4.8
6069,04-04-2017,16,0,13.7,5.1
6069,04-04-2017,17,0,12.7,5
6069,04-04-2017,18,0,11.2,4.5
6069,04-04-2017,19,0,10.2,4.1
6069,04-04-2017,20,0,9.4,4.1
6069,04-04-2017,21,0,8.4,4.4
6069,04-04-2017,22,0,7,3.8
6069,04-04-2017,23,0,6.8,2.4
6069,05-04-2017,0,0,6.7,3
6069,05-04-2017,1,0,6.4,2.9
6069,05-04-2017,2,0,5.3,2.9
6069,05-04-2017,3,0,4.9,3.6
6069,05-04-2017,4,0,4.7,3.6
6069,05-04-2017,5,0,4.7,3.9
6069,05-04-2017,6,0,5,4.5
6069,05-04-2017,7,0,5.4,4
6069,05-04-2017,8,0,6.8,5.5
6069,05-04-2017,9,0,7.8,7.5
