station,date,time,prec,metp,meanwv
6069,01-04-2015,0,0,2.1,3.9
6069,01-04-2015,1,0,2,4
6069,01-04-2015,2,0,1.7,3.6
6069,01-04-2015,3,0,1.9,4.5
6069,01-04-2015,4,0,2,4.5
6069,01-04-2015,5,0.2,1.6,4
6069,01-04-2015,6,0.2,1.6,3.4
6069,01-04-2015,7,0.1,2,3.8
6069,01-04-2015,8,0.1,3.4,7.5
6069,01-04-2015,9,0,4.4,9.6
6069,01-04-2015,10,0,5.1,10.7
6069,01-04-2015,11,0,5.2,10.9
6069,01-04-2015,12,0,5.4,10.6
6069,01-04-2015,13,0,5.5,11.5
6069,01-04-2015,14,0,5.5,11.9
6069,01-04-2015,15,0,5.4,11
6069,01-04-2015,16,0,5.1,10.4
6069,01-04-2015,17,0,4.6,9.6
6069,01-04-2015,18,0,3.9,7.5
6069,01-04-2015,19,0,3.2,5.7
6069,01-04-2015,20,0,2.5,4.7
6069,01-04-2015,21,0,1.6,3.6
6069,01-04-2015,22,0,1.2,3.2
6069,01-04-2015,23,0,0.9,3.2
6069,02-04-2015,0,0,0.7,3.9
6069,02-04-2015,1,0,0.8,3.8
6069,02-04-2015,2,0,0.5,2.9
6069,02-04-2015,3,0,0.6,3.3
6069,02-04-2015,4,0,0.5,3.4
6069,02-04-2015,5,0,0.9,4.1
6069,02-04-2015,6,0,1.1,4.5
6069,02-04-2015,7,0,1.7,4.7
6069,02-04-2015,8,0,2.8,5.1
6069,02-04-2015,9,0,3.8,5.7
6069,02-04-2015,10,0,4.7,5.9
6069,02-04-2015,11,0,5.4,6.9
6069,02-04-2015,12,0,6.3,6.8
6069,02-04-2015,13,0,6.7,7.2
6069,02-04-2015,14,0,7.2,7
6069,02-04-2015,15,0,7.2,6.5
6069,02-04-2015,16,0,7.1,6.3
6069,02-04-2015,17,0,6.9,5.3
6069,02-04-2015,18,0,5.2,4.1
6069,02-04-2015,19,0,3.4,2.1
6069,02-04-2015,20,0,2.3,2.3
6069,02-04-2015,21,0,1.6,2.1
6069,02-04-2015,22,0,1.1,1.9
6069,02-04-2015,23,0,1,1.7
6069,03-04-2015,0,0,0.9,1.6
6069,03-04-2015,1,0,0.4,1.4
6069,03-04-2015,2,0,0.2,1.5
6069,03-04-2015,3,0,-0.1,1.2
6069,03-04-2015,4,0,-0.5,0.2
6069,03-04-2015,5,0,-0.7,0.2
6069,03-04-2015,6,0,-0.8,0.7
6069,03-04-2015,7,0,0.8,1.2
6069,03-04-2015,8,0,3.1,2.7
6069,03-04-2015,9,0,4.8,3.2
6069,03-04-2015,10,0,5.7,4.5
6069,03-04-2015,11,0,6.6,4.4
6069,03-04-2015,12,0,7.2,4
