"","x"
"int.f0",2.22683189911953
"int.r1",-0.0567571982174839
"int.r2",-0.964170679440042
"int.r3",-4.16780243221692
"man.ph.r1",0.552019056858503
"man.ph.r3",-0.112992186902168
"man.source.pig.f0",-2.25045585388799
