"","x"
"int.f0",0.532383358857377
"int.r1",-0.358710760922332
"int.r2",-2.0921795562871
"int.r3",-2.69242287149571
"incorp.shallow.f4",-2.20403690165835
"incorp.shallow.r3",-0.477168135403971
