"","x"
"int.f0",-0.96028987815753
"int.r1",-0.882823110435222
"int.r2",-1.31502081360913
"int.r3",-3.2026850952139
"app.mthd.os.f0",-1.4609274372785
"app.rate.ni.f0",-0.00465378673484199
"app.rate.os.f0",-0.0505775847312356
"man.dm.f0",0.325927441333151
"app.mthd.bc.r1",0.699863301450751
"man.dm.r1",-0.192137865779776
"air.temp.r1",0.0777394722613942
"wind.2m.r1",0.261579045829179
"air.temp.r3",-0.0178312541796076
"app.mthd.os.r3",0.189259114633796
"app.mthd.bc.r3",0.243622764262371
"rain.rate.r2",0.53817859269965
"rain.cum.r3",0.0252306334963972
"man.source.pig.f0",-0.634081219183974
"app.mthd.ts.r1",-0.507095372043123
"ts.cereal.hght.r1",-0.435362406215745
"country.NL.f0",1.29203553280322
"country.CH.f0",0.144743278485659
"man.ph.r1",0.665
"man.ph.r3",0.238
