"","x"
"int.f0",-0.57974903537808
"int.r1",-0.678103722574031
"int.r2",-1.22612081989739
"int.r3",-3.05466916290864
"app.mthd.os.f0",-2.60893615133455
"app.rate.ni.f0",-0.0118256167964971
"app.rate.os.f0",-0.0122502082797205
"man.dm.f0",0.423925017343377
"app.mthd.bc.r1",0.407107833262052
"man.dm.r1",-0.0848247678917963
"air.temp.r1",0.0470345656268798
"wind.2m.r1",0.0757748683063624
"air.temp.r3",0.0061169215824299
"app.mthd.os.r3",-0.0503592050819007
"app.mthd.bc.r3",0.437765023367786
"rain.rate.r2",0.375954902066348
"rain.cum.r3",-0.00267842084162951
"man.source.pig.f0",-0.744699059809722
"app.mthd.ts.r1",-0.550514426280091
"ts.cereal.hght.r1",-0.161188241660376
"country.NL.f0",1.15213562230618
"country.CH.f0",0.119835936152069
"man.ph.r1",0.665
"man.ph.r3",0.238
