"","a","b","c","d","e","f","g","h","i","j","k"
"int.f0",-0.616851340817191,-0.57974903537808,-0.38753862537546,-0.96028987815753,-1.02018354057304,-0.556735385854198,-0.47959331865689,-0.605683377135473,-0.605683377135473,-0.588901435067701,-0.385240659918731
"app.mthd.os.f0",-1.69834186914462,-2.60893615133455,-1.84782197477769,-1.4609274372785,-2.42567905885992,-1.86192917447165,-1.97605985092229,-1.74351499199106,-1.74351499199106,-1.85913144312683,-1.93066891702666
"app.rate.ni.f0",-0.011094424014764,-0.0118256167964971,-0.0139374521652016,-0.00465378673484199,-0.00607594253819565,-0.0123727780828018,-0.0126536244049832,-0.0111490009460872,-0.0111490009460872,-0.0110730001566815,-0.0150662619758968
"app.rate.os.f0",-0.0233433949401785,-0.0122502082797205,-0.0544645586379307,-0.0505775847312356,NA,NA,NA,NA,NA,NA,NA
"man.dm.f0",0.431476464627414,0.423925017343377,0.371002441473101,0.325927441333151,0.41696678698737,0.391386196532896,0.42768557762712,0.399670699937794,0.399670699937794,0.408788298431702,0.414677515237276
"man.source.pig.f0",-0.257525962666408,-0.744699059809722,-0.727331279159991,-0.634081219183974,-0.355944383008047,-0.674283182053719,-0.643279290345904,-0.592028581423498,-0.592028581423498,-0.59327500249295,-0.635796782032391
"app.mthd.cs.f0",NA,NA,NA,NA,NA,NA,NA,NA,-7.63373787323506,NA,NA
"country.NL.f0",0.485887558879614,1.15213562230618,0.964654779607877,1.29203553280322,0.84188614608712,NA,NA,NA,NA,NA,NA
"country.CH.f0",0.0497095959992897,0.119835936152069,-0.212407611131663,0.144743278485659,0.192521930437036,NA,NA,NA,NA,NA,NA
"int.r1",-0.918938369881156,-0.678103722574031,-0.910460071114475,-0.882823110435222,-0.983089322705862,-0.908267731542147,-0.953866000272609,-0.939215157554942,-0.939215157554942,-0.940327088480493,-1.05273285646245
"app.mthd.bc.r1",0.772322485121783,0.407107833262052,0.63290963829136,0.699863301450751,1.05703963937741,0.752537702955679,0.84548214482065,0.793524800080501,0.793524800080501,0.921406291800363,0.7560125528434
"man.dm.r1",-0.0897831021789187,-0.0848247678917963,-0.138117421478407,-0.192137865779776,-0.194814451763521,-0.133862108292123,-0.138568263411594,-0.139881887708132,-0.139881887708132,-0.141151498069572,-0.114828253755303
"air.temp.r1",0.0643563167564459,0.0470345656268798,0.0370595023630304,0.0777394722613942,0.0950203284385098,0.0758489890097704,0.0713143645625116,0.0735426766754151,0.0735426766754151,0.0645929270599881,0.0541542145003906
"wind.2m.r1",0.131769078751487,0.0757748683063624,0.049828167899731,0.261579045829179,0.245124043800708,0.169227214620069,0.18354283121548,0.150267203970342,0.150267203970342,0.174120406375851,0.0860735975151251
"app.mthd.ts.r1",-0.563851779984433,-0.550514426280091,-0.111122969338009,-0.507095372043123,-0.458089804496619,-0.518219003897046,-0.503508522287913,-0.459071351818907,-0.459071351818907,-0.446885068447212,-0.360497270708035
"bsth.grass.hght.r1",0.0119333842024125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bsth.cereal.hght.r1",-0.257809165303397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ts.grass.hght.r1",0.0109559368949761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ts.cereal.hght.r1",-0.182933242148968,-0.161188241660376,-0.19689450982968,-0.435362406215745,-0.311873076481718,-0.213560408297972,-0.248499895829102,-0.244712378321887,-0.244712378321887,-0.245399634703937,-0.074785156553318
"man.ph.r1",0.665,0.665,NA,0.665,0.665,0.665,0.665,0.665,0.665,0.665,NA
"int.r2",-1.20456938268018,-1.22612081989739,-1.15420893431635,-1.31502081360913,-1.69687529230165,-1.75939958213318,-1.73120608929601,-1.79918545831297,-1.79918545831297,-1.80498633017544,-1.67822349195978
"rain.rate.r2",0.572858669980835,0.375954902066348,0.522567592503978,0.53817859269965,0.115070965213858,0.12876090464753,-0.415011252758477,0.394021556916743,0.394021556916743,0.616769146336415,0.561456606123765
"int.r3",-2.91219646774575,-3.05466916290864,-3.05136985810872,-3.2026850952139,-3.07216172731357,-3.22237908223931,-3.25212625712516,-3.22841225187594,-3.22841225187594,-3.23298359738693,-3.19105982091525
"air.temp.r3",0.013702232610752,0.0061169215824299,-0.00296380853052673,-0.0178312541796076,0.000536928463125088,-0.000730094374183841,-0.0118327475492432,NA,NA,NA,NA
"app.mthd.os.r3",-0.0220595674883271,-0.0503592050819007,0.0959412884618238,0.189259114633796,NA,NA,NA,NA,NA,NA,NA
"app.mthd.bc.r3",0.283207288390383,0.437765023367786,0.318184321065081,0.243622764262371,0.350843744207739,0.565194927129484,0.555200707746419,0.561539558429444,0.561539558429444,0.562597906726518,0.473829808652975
"rain.cum.r3",-0.0374244845198319,-0.00267842084162951,-0.00319018617536878,0.0252306334963972,NA,NA,NA,NA,NA,NA,NA
"app.mthd.cs.r3",NA,NA,NA,NA,NA,NA,NA,NA,-0.666474172842208,NA,NA
"man.ph.r3",0.238,0.238,NA,0.238,0.238,0.238,0.238,0.238,0.238,0.238,NA
