"","x"
"int.f0",-0.605683377135473
"int.r1",-0.939215157554942
"int.r2",-1.79918545831297
"int.r3",-3.22841225187594
"app.mthd.os.f0",-1.74351499199106
"app.rate.ni.f0",-0.0111490009460872
"man.dm.f0",0.399670699937794
"app.mthd.bc.r1",0.793524800080501
"man.dm.r1",-0.139881887708132
"air.temp.r1",0.0735426766754151
"wind.2m.r1",0.150267203970342
"app.mthd.bc.r3",0.561539558429444
"rain.rate.r2",0.394021556916743
"man.source.pig.f0",-0.592028581423498
"app.mthd.ts.r1",-0.459071351818907
"ts.cereal.hght.r1",-0.244712378321887
"man.ph.r1",0.665
"man.ph.r3",0.238
