"app.timing","Trailing hose_Cattle","Trailing hose_Pig","Trailing hose_Digestate","Open slot injection_Cattle","Open slot injection_Pig","Open slot injection_Digestate","Closed slot injection_Cattle","Closed slot injection_Pig","Closed slot injection_Digestate"
"March",NA,NA,NA,12,9.7,16,1.6,1.8,2.6
"April",NA,NA,NA,14,9.8,17,1.6,1.8,2.6
"Summer",33,16,30,NA,NA,NA,NA,NA,NA
"Summer, grass",NA,NA,NA,15,10,17,NA,NA,NA
"Autumn",32,15,30,15,10,17,1.6,1.8,2.6
