"ID","Decade","Application period","Application method","Crop","Crop height (cm)","Incorporation","Manure source","Manure DM (%)","Manure pH","Manure treatment","Air temperature (deg. C)","Wind speed (m/s)","Rainfall rate (mm/h)","Emission factor (% of applied TAN)"
"122-2010",2010,"May","Trailing hose","Spring cereal",15,"None","Cattle",6.5,6,"Barn acidified",12.4,3.56,0.09,17
"155-2010",2010,"May","Trailing hose","Spring cereal",15,"None","Pig",3.9,6,"Barn acidified",12.4,3.56,0.09,9.3
"140-2010",2010,"Spring-summer","Broadcast","Cereal and grass",15,"None","Cattle",6.5,6,"Barn acidified",14.3,3.4,0.09,38
"173-2010",2010,"Spring-summer","Broadcast","Cereal and grass",15,"None","Pig",3.9,6,"Barn acidified",14.3,3.4,0.09,21
"123-2010",2010,"Summer","Trailing hose","Grass",10,"None","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,22
"135-2010",2010,"Summer","Trailing hose","None",0,"None","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,22
"312-2010",2010,"Summer","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,14
"313-2010",2010,"Summer","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,11
"314-2010",2010,"Summer","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,8.9
"315-2010",2010,"Summer","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,8.1
"124-2010",2010,"Summer","Trailing hose","None",0,"Deep 24 hr","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,12
"125-2010",2010,"Summer","Trailing hose","None",0,"Deep 12 hr","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,7.6
"126-2010",2010,"Summer","Trailing hose","None",0,"Deep 6 hr","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,4.5
"127-2010",2010,"Summer","Trailing hose","None",0,"Deep 4 hr","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,3.3
"156-2010",2010,"Summer","Trailing hose","Grass",10,"None","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,10
"168-2010",2010,"Summer","Trailing hose","None",0,"None","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,10
"332-2010",2010,"Summer","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,7
"333-2010",2010,"Summer","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,5.7
"334-2010",2010,"Summer","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,4.5
"335-2010",2010,"Summer","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,4.1
"157-2010",2010,"Summer","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,6
"158-2010",2010,"Summer","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,4.2
"159-2010",2010,"Summer","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,2.6
"160-2010",2010,"Summer","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,2
"141-2010",2010,"Late summer-autumn","Broadcast","Grass",10,"None","Cattle",6.5,6,"Barn acidified",16.6,3.22,0.09,39
"144-2010",2010,"Late summer-autumn","Broadcast","None",0,"None","Cattle",6.5,6,"Barn acidified",16.6,3.22,0.09,39
"322-2010",2010,"Late summer-autumn","Broadcast","None",0,"Shallow < 12 hr","Cattle",6.5,6,"Barn acidified",16.6,3.22,0.09,29
"323-2010",2010,"Late summer-autumn","Broadcast","None",0,"Shallow > 12 hr","Cattle",6.5,6,"Barn acidified",16.6,3.22,0.09,29
"142-2010",2010,"Late summer-autumn","Broadcast","None",0,"Deep < 12 hr","Cattle",6.5,6,"Barn acidified",16.6,3.22,0.09,25
"143-2010",2010,"Late summer-autumn","Broadcast","None",0,"Deep > 12 hr","Cattle",6.5,6,"Barn acidified",16.6,3.22,0.09,25
"174-2010",2010,"Late summer-autumn","Broadcast","Grass",10,"None","Pig",3.9,6,"Barn acidified",16.6,3.22,0.09,22
"177-2010",2010,"Late summer-autumn","Broadcast","None",0,"None","Pig",3.9,6,"Barn acidified",16.6,3.22,0.09,22
"342-2010",2010,"Late summer-autumn","Broadcast","None",0,"Shallow < 12 hr","Pig",3.9,6,"Barn acidified",16.6,3.22,0.09,12
"343-2010",2010,"Late summer-autumn","Broadcast","None",0,"Shallow > 12 hr","Pig",3.9,6,"Barn acidified",16.6,3.22,0.09,12
"175-2010",2010,"Late summer-autumn","Broadcast","None",0,"Deep < 12 hr","Pig",3.9,6,"Barn acidified",16.6,3.22,0.09,9.7
"176-2010",2010,"Late summer-autumn","Broadcast","None",0,"Deep > 12 hr","Pig",3.9,6,"Barn acidified",16.6,3.22,0.09,9.7
"128-2010",2010,"Autumn","Trailing hose","Grass",15,"None","Cattle",6.5,6,"Barn acidified",14.6,3.45,0.09,19
"136-2010",2010,"Autumn","Trailing hose","None",0,"None","Cattle",6.5,6,"Barn acidified",14.6,3.45,0.09,19
"316-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.5,6,"Barn acidified",14.6,3.45,0.09,12
"317-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.5,6,"Barn acidified",14.6,3.45,0.09,9.4
"318-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.5,6,"Barn acidified",14.6,3.45,0.09,7.6
"319-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.5,6,"Barn acidified",14.6,3.45,0.09,7
"129-2010",2010,"Autumn","Trailing hose","None",0,"Deep 24 hr","Cattle",6.5,6,"Barn acidified",14.6,3.45,0.09,9.7
"130-2010",2010,"Autumn","Trailing hose","None",0,"Deep 12 hr","Cattle",6.5,6,"Barn acidified",14.6,3.45,0.09,6
"131-2010",2010,"Autumn","Trailing hose","None",0,"Deep 6 hr","Cattle",6.5,6,"Barn acidified",14.6,3.45,0.09,3.6
"132-2010",2010,"Autumn","Trailing hose","None",0,"Deep 4 hr","Cattle",6.5,6,"Barn acidified",14.6,3.45,0.09,2.7
"161-2010",2010,"Autumn","Trailing hose","Grass",15,"None","Pig",3.9,6,"Barn acidified",14.6,3.45,0.09,9.9
"169-2010",2010,"Autumn","Trailing hose","None",0,"None","Pig",3.9,6,"Barn acidified",14.6,3.45,0.09,9.9
"336-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,6,"Barn acidified",14.6,3.45,0.09,6.3
