"id","decade","app.timing","app.mthd","crop","crop.hght","incorp.descrip","man.source","man.dm","man.ph","man.trt","air.temp","wind.2m","rain.rate","EFp"
"049-2010",2010,"March","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,2.4
"148-2010",2010,"March","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,0.68
"214-2010",2010,"March","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,6.4,"Field acidified",4.9,4.02,0.09,1
"267-2010",2010,"March","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,5.3
"327-2010",2010,"March","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,2.2
"367-2010",2010,"March","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,6.4,"Field acidified",4.9,4.02,0.09,3
"048-2010",2010,"March","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,3.2
"147-2010",2010,"March","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,0.86
"213-2010",2010,"March","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,6.4,"Field acidified",4.9,4.02,0.09,1.3
"266-2010",2010,"March","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,5.8
"326-2010",2010,"March","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,2.3
"366-2010",2010,"March","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,6.4,"Field acidified",4.9,4.02,0.09,3.2
"054-2010",2010,"March","Trailing hose","Winter cereal",15,"None","Pig",3.9,7.2,"None",4.9,4.02,0.09,14
"153-2010",2010,"March","Trailing hose","Winter cereal",15,"None","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,7
"166-2010",2010,"March","Trailing hose","None",0,"None","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,7
"219-2010",2010,"March","Trailing hose","Winter cereal",15,"None","Pig",3.9,6.4,"Field acidified",4.9,4.02,0.09,9.2
"232-2010",2010,"March","Trailing hose","None",0,"None","Pig",3.9,6.4,"Field acidified",4.9,4.02,0.09,9.2
"084-2010",2010,"March","Trailing hose","None",0,"Deep 12 hr","Digestate",5.1,7.9,"None",4.9,4.02,0.09,16
"285-2010",2010,"March","Trailing hose","None",0,"Shallow 12 hr","Digestate",5.1,7.9,"None",4.9,4.02,0.09,19
"083-2010",2010,"March","Trailing hose","None",0,"Deep 24 hr","Digestate",5.1,7.9,"None",4.9,4.02,0.09,20
"284-2010",2010,"March","Trailing hose","None",0,"Shallow 24 hr","Digestate",5.1,7.9,"None",4.9,4.02,0.09,22
"086-2010",2010,"March","Trailing hose","None",0,"Deep 4 hr","Digestate",5.1,7.9,"None",4.9,4.02,0.09,8.7
"287-2010",2010,"March","Trailing hose","None",0,"Shallow 4 hr","Digestate",5.1,7.9,"None",4.9,4.02,0.09,14
"085-2010",2010,"March","Trailing hose","None",0,"Deep 6 hr","Digestate",5.1,7.9,"None",4.9,4.02,0.09,11
"286-2010",2010,"March","Trailing hose","None",0,"Shallow 6 hr","Digestate",5.1,7.9,"None",4.9,4.02,0.09,16
"091-2010",2010,"March","Trailing hose","Winter cereal",15,"None","Digestate",5.1,7.9,"None",4.9,4.02,0.09,28
"003-2010",2010,"March","Open slot injection","Grass",10,NA,"Cattle",6.5,7,"None",4.9,4.02,0.09,12
"040-2010",2010,"March","Open slot injection","Grass",10,NA,"Pig",3.9,7.2,"None",4.9,4.02,0.09,9.7
"077-2010",2010,"March","Open slot injection","Grass",10,NA,"Digestate",5.1,7.9,"None",4.9,4.02,0.09,16
"001-2010",2010,"March","Closed slot injection","None",0,NA,"Cattle",6.5,7,"None",4.9,4.02,0.09,1.6
"038-2010",2010,"March","Closed slot injection","None",0,NA,"Pig",3.9,7.2,"None",4.9,4.02,0.09,1.8
"075-2010",2010,"March","Closed slot injection","None",0,NA,"Digestate",5.1,7.9,"None",4.9,4.02,0.09,2.6
"014-2010",2010,"April","Trailing hose","None",0,"Deep 12 hr","Cattle",6.5,7,"None",8.5,3.91,0.09,10
"117-2010",2010,"April","Trailing hose","None",0,"Deep 12 hr","Cattle",6.5,6,"Barn acidified",8.5,3.91,0.09,2.9
"183-2010",2010,"April","Trailing hose","None",0,"Deep 12 hr","Cattle",6.5,6.4,"Field acidified",8.5,3.91,0.09,5
"249-2010",2010,"April","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.5,7,"None",8.5,3.91,0.09,15
"309-2010",2010,"April","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.5,6,"Barn acidified",8.5,3.91,0.09,5.4
"349-2010",2010,"April","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.5,6.4,"Field acidified",8.5,3.91,0.09,8.3
"013-2010",2010,"April","Trailing hose","None",0,"Deep 24 hr","Cattle",6.5,7,"None",8.5,3.91,0.09,16
"116-2010",2010,"April","Trailing hose","None",0,"Deep 24 hr","Cattle",6.5,6,"Barn acidified",8.5,3.91,0.09,4.9
"182-2010",2010,"April","Trailing hose","None",0,"Deep 24 hr","Cattle",6.5,6.4,"Field acidified",8.5,3.91,0.09,8.1
"248-2010",2010,"April","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.5,7,"None",8.5,3.91,0.09,19
