"man.source","app.timing","EF.2008","EFp"
"Cattle","March",1.63,1.6
"Cattle","April",1.78,1.6
"Cattle","Summer, before winter rapeseed",2.14,1.6
"Pig","March",0.86,1.8
"Pig","April",0.94,1.8
"Pig","Summer, before winter rapeseed",1.12,1.8
