"app.timing","crop","crop.hght","Cattle_No treatment","Cattle_Barn acidified","Cattle_Field acidified","Pig_No treatment","Pig_Barn acidified","Pig_Field acidified"
"March","Winter cereal",15,22,9.6,14,14,7,9.2
"April","Winter cereal",25,27,13,18,15,8.2,10
"May","Spring cereal",15,30,17,22,15,9.3,11
"Summer","Grass",10,33,22,27,16,10,12
"Autumn","Grass",15,32,19,25,15,9.9,12
