"id","decade","app.timing.d","crop.status","app.mthd.d","incorp.timing","man.descrip.d","man.source.d","EF.2008","EF.current","EF.2008.source"
"0002-2010",2010,"April","-","Sortjordsnedfældning","None","Ikke behandlet gylle","Kvæg",1.78,1.6,"Table 11"
"0003-2010",2010,"Marts","+","Nedfælder","None","Ikke behandlet gylle","Kvæg",24.5,12,"Table 11"
"0004-2010",2010,"April","+","Nedfælder","None","Ikke behandlet gylle","Kvæg",26.7,14,"Table 11"
"0005-2010",2010,"Sommer, græsnedfældning","+","Nedfælder","None","Ikke behandlet gylle","Kvæg",32,15,"Table 11"
"0006-2010",2010,"Sommer, før vinterraps","-","Sortjordsnedfældning","None","Ikke behandlet gylle","Kvæg",2.14,1.6,"Table 11"
"0007-2010",2010,"Efterår","+","Nedfælder","None","Ikke behandlet gylle","Kvæg",28.6,15,"Table 11"
"0008-2010",2010,"Efterår","-","Sortjordsnedfældning","None","Ikke behandlet gylle","Kvæg",1.91,1.6,"Table 11"
"0009-2010",2010,"Marts","-","Slæbeslanger","24.0","Ikke behandlet gylle","Kvæg",32.6,11,"Table 12 - havning"
"0011-2010",2010,"Marts","-","Slæbeslanger","6.0","Ikke behandlet gylle","Kvæg",9.4,4.1,"Table 12 - havning"
"0012-2010",2010,"Marts","-","Slæbeslanger","4.0","Ikke behandlet gylle","Kvæg",7,3.1,"Table 12 - havning"
"0013-2010",2010,"April","-","Slæbeslanger","24.0","Ikke behandlet gylle","Kvæg",35.6,16,"Table 12 - havning"
"0015-2010",2010,"April","-","Slæbeslanger","6.0","Ikke behandlet gylle","Kvæg",10.3,6.4,"Table 12 - havning"
"0016-2010",2010,"April","-","Slæbeslanger","4.0","Ikke behandlet gylle","Kvæg",7.6,4.7,"Table 12 - havning"
"0017-2010",2010,"Marts","+","Slæbeslanger","None","Ikke behandlet gylle","Kvæg",26.4,22,"Table 10"
"0018-2010",2010,"April","+","Slæbeslanger","None","Ikke behandlet gylle","Kvæg",28.1,27,"Table 10"
"0019-2010",2010,"Maj","+","Slæbeslanger","None","Ikke behandlet gylle","Kvæg",25.5,30,"Table 10"
"0020-2010",2010,"Sommer","+","Slæbeslanger","None","Ikke behandlet gylle","Kvæg",6,33,"Table 10 Juli"
"0021-2010",2010,"Sommer","-","Slæbeslanger","24.0","Ikke behandlet gylle","Kvæg",42.7,27,NA
"0023-2010",2010,"Sommer","-","Slæbeslanger","6.0","Ikke behandlet gylle","Kvæg",12.4,15,"Table 12"
"0024-2010",2010,"Sommer","-","Slæbeslanger","4.0","Ikke behandlet gylle","Kvæg",9.1,11,"Table 12"
"0025-2010",2010,"Efterår","+","Slæbeslanger","None","Ikke behandlet gylle","Kvæg",32,32,"Table 10"
"0026-2010",2010,"Efterår","-","Slæbeslanger","24.0","Ikke behandlet gylle","Kvæg",38.1,25,"Table 12"
"0028-2010",2010,"Efterår","-","Slæbeslanger","6.0","Ikke behandlet gylle","Kvæg",11,12,"Table 12"
"0029-2010",2010,"Efterår","-","Slæbeslanger","4.0","Ikke behandlet gylle","Kvæg",8.1,9.2,"Table 12"
"0038-2010",2010,"Marts","-","Sortjordsnedfældning","None","Ikke behandlet gylle","Svin",0.86,1.8,"Table 11"
"0039-2010",2010,"April","-","Sortjordsnedfældning","None","Ikke behandlet gylle","Svin",0.94,1.8,"Table 11"
"0040-2010",2010,"Marts","+","Nedfælder","None","Ikke behandlet gylle","Svin",12.8,9.7,"Table 11"
"0041-2010",2010,"April","+","Nedfælder","None","Ikke behandlet gylle","Svin",14,9.8,"Table 11"
"0042-2010",2010,"Sommer, græsnedfældning","+","Nedfælder","None","Ikke behandlet gylle","Svin",16.8,10,"Table 11"
"0043-2010",2010,"Sommer, før vinterraps","-","Sortjordsnedfældning","None","Ikke behandlet gylle","Svin",1.12,1.8,"Table 11"
"0044-2010",2010,"Efterår","+","Nedfælder","None","Ikke behandlet gylle","Svin",15,10,"Table 11"
"0045-2010",2010,"Efterår","-","Sortjordsnedfældning","None","Ikke behandlet gylle","Svin",1,1.8,"Table 11"
"0046-2010",2010,"Marts","-","Slæbeslanger","24.0","Ikke behandlet gylle","Svin",17.1,7,"Table 12"
"0048-2010",2010,"Marts","-","Slæbeslanger","6.0","Ikke behandlet gylle","Svin",8,3.2,"Table 12"
"0049-2010",2010,"Marts","-","Slæbeslanger","4.0","Ikke behandlet gylle","Svin",7,2.4,"Table 12"
"0050-2010",2010,"April","-","Slæbeslanger","24.0","Ikke behandlet gylle","Svin",18.7,8.3,"Table 12"
"0052-2010",2010,"April","-","Slæbeslanger","6.0","Ikke behandlet gylle","Svin",8.7,4.5,"Table 12"
"0053-2010",2010,"April","-","Slæbeslanger","4.0","Ikke behandlet gylle","Svin",7.7,3.5,"Table 12"
"0054-2010",2010,"Marts","+","Slæbeslanger","None","Ikke behandlet gylle","Svin",13.9,14,"Table 10"
"0055-2010",2010,"April","+","Slæbeslanger","None","Ikke behandlet gylle","Svin",14.8,15,"Table 10"
"0056-2010",2010,"Maj","+","Slæbeslanger","None","Ikke behandlet gylle","Svin",13.4,15,"Table 10"
"0057-2010",2010,"Sommer","+","Slæbeslanger","None","Ikke behandlet gylle","Svin",3.1,16,"Table 10"
"0058-2010",2010,"Sommer","-","Slæbeslanger","24.0","Ikke behandlet gylle","Svin",22.4,9.6,NA
"0060-2010",2010,"Sommer","-","Slæbeslanger","6.0","Ikke behandlet gylle","Svin",10.5,7.8,"Table 12"
"0061-2010",2010,"Sommer","-","Slæbeslanger","4.0","Ikke behandlet gylle","Svin",9.2,6.7,"Table 12"
"0062-2010",2010,"Efterår","+","Slæbeslanger","None","Ikke behandlet gylle","Svin",16.8,15,"Table 10"
"0063-2010",2010,"Efterår","-","Slæbeslanger","24.0","Ikke behandlet gylle","Svin",20,9.4,"Table 12"
"0065-2010",2010,"Efterår","-","Slæbeslanger","6.0","Ikke behandlet gylle","Svin",9.3,7,"Table 12"
"0066-2010",2010,"Efterår","-","Slæbeslanger","4.0","Ikke behandlet gylle","Svin",8.2,5.8,"Table 12"
