"decade","app.timing","app.timing.d","app.mthd","crop.status","app.mthd.d","incorp.timing","man.trt","man.source","man.descrip.d","man.source.d","id","incorp","crop.status.d","incorp.timing.d","EF.2008","EF.2008.source","notes.inputs","man.dm","man.ph","man.tn","man.tan","man.source.pig","t.incorp","incorp.deep","incorp.shallow","crop","crop.hght","crop.notes","grass.hght","cereal.hght","bsth.cereal.hght","month.start","month.end","date.notes","air.temp","wind.2m","rain.rate","app.mthd.bc","app.mthd.os","app.mthd.cs","app.rate","tan.app","app.rate.ni","ct","id1","emis","EF","emis.def","EF.def","man.trt.nm","incorp.nm","EF.rel","EFp"
1980,"April","April","Trailing hose","-","Slæbeslanger","24.0","None","Cattle","Ikke behandlet gylle","Kvæg","0013-1980","Deep","-","24.0",35.6,"Table 12 - havning",NA,7.3,7,4,2.2,0,24,TRUE,FALSE,"None",0,NA,NA,0,0,4,4,NA,6.8,3.795,0.09,0,0,0,30,66,30,168,13,8.4,0.13,7.2,0.11,"No treatment","Deep incorp.",0,13
1980,"April","April","Trailing hose","-","Slæbeslanger","12.0","None","Cattle","Ikke behandlet gylle","Kvæg","0014-1980","Deep","-","12.0",NA,NA,NA,7.3,7,4,2.2,0,12,TRUE,FALSE,"None",0,NA,NA,0,0,4,4,NA,6.8,3.795,0.09,0,0,0,30,66,30,168,14,5.3,0.08,6.4,0.096,"No treatment","Deep incorp.",0,8
1980,"April","April","Trailing hose","-","Slæbeslanger","6.0","None","Cattle","Ikke behandlet gylle","Kvæg","0015-1980","Deep","-","6.0",10.3,"Table 12 - havning",NA,7.3,7,4,2.2,0,6,TRUE,FALSE,"None",0,NA,NA,0,0,4,4,NA,6.8,3.795,0.09,0,0,0,30,66,30,168,15,3.2,0.048,5.4,0.082,"No treatment","Deep incorp.",0,4.8
1980,"April","April","Trailing hose","-","Slæbeslanger","4.0","None","Cattle","Ikke behandlet gylle","Kvæg","0016-1980","Deep","-","4.0",7.6,"Table 12 - havning",NA,7.3,7,4,2.2,0,4,TRUE,FALSE,"None",0,NA,NA,0,0,4,4,NA,6.8,3.795,0.09,0,0,0,30,66,30,168,16,2.4,0.036,4.9,0.074,"No treatment","Deep incorp.",0,3.6
1980,"March","Marts","Trailing hose","+","Slæbeslanger","None","None","Cattle","Ikke behandlet gylle","Kvæg","0017-1980","None","+",NA,26.4,"Table 10",NA,7.3,7,4,2.2,0,NA,FALSE,FALSE,"Winter cereal",15,NA,0,15,15,3,3,NA,3.3,4.37,0.09,0,0,0,30,66,30,168,17,15,0.22,9.2,0.14,"No treatment","No incorp.",0,22
1980,"April","April","Trailing hose","+","Slæbeslanger","None","None","Cattle","Ikke behandlet gylle","Kvæg","0018-1980","None","+",NA,28.1,"Table 10",NA,7.3,7,4,2.2,0,NA,FALSE,FALSE,"Winter cereal",25,NA,0,25,25,4,4,NA,6.8,3.795,0.09,0,0,0,30,66,30,168,18,17,0.26,11,0.16,"No treatment","No incorp.",0,26
1980,"May","Maj","Trailing hose","+","Slæbeslanger","None","None","Cattle","Ikke behandlet gylle","Kvæg","0019-1980","None","+",NA,25.5,"Table 10",NA,7.3,7,4,2.2,0,NA,FALSE,FALSE,"Spring cereal",15,NA,0,15,15,5,5,NA,12,3.68,0.09,0,0,0,30,66,30,168,19,22,0.33,14,0.22,"No treatment","No incorp.",0,33
1980,"Summer","Sommer","Trailing hose","+","Slæbeslanger","None","None","Cattle","Ikke behandlet gylle","Kvæg","0020-1980","None","+",NA,6,"Table 10 Juli",NA,7.3,7,4,2.2,0,NA,FALSE,FALSE,"Grass",10,"not relevant - except field acidification to grass",10,0,0,6,8,NA,15.6,3.18166666666667,0.09,0,0,0,30,66,30,168,20,24,0.36,17,0.26,"No treatment","No incorp.",0,36
1980,"Summer","Sommer","Trailing hose","-","Slæbeslanger","24.0","None","Cattle","Ikke behandlet gylle","Kvæg","0021-1980","Deep","-","24.0",42.7,NA,NA,7.3,7,4,2.2,0,24,TRUE,FALSE,"None",0,NA,NA,0,0,6,8,NA,15.6,3.18166666666667,0.09,0,0,0,30,66,30,168,21,18,0.28,12,0.19,"No treatment","Deep incorp.",0,28
1980,"Summer","Sommer","Trailing hose","-","Slæbeslanger","12.0","None","Cattle","Ikke behandlet gylle","Kvæg","0022-1980","Deep","-","12.0",NA,NA,NA,7.3,7,4,2.2,0,12,TRUE,FALSE,"None",0,NA,NA,0,0,6,8,NA,15.6,3.18166666666667,0.09,0,0,0,30,66,30,168,22,14,0.2,11,0.17,"No treatment","Deep incorp.",0,20
1980,"Summer","Sommer","Trailing hose","-","Slæbeslanger","6.0","None","Cattle","Ikke behandlet gylle","Kvæg","0023-1980","Deep","-","6.0",12.4,"Table 12",NA,7.3,7,4,2.2,0,6,TRUE,FALSE,"None",0,NA,NA,0,0,6,8,NA,15.6,3.18166666666667,0.09,0,0,0,30,66,30,168,23,8.7,0.13,9.3,0.14,"No treatment","Deep incorp.",0,13
1980,"Summer","Sommer","Trailing hose","-","Slæbeslanger","4.0","None","Cattle","Ikke behandlet gylle","Kvæg","0024-1980","Deep","-","4.0",9.1,"Table 12",NA,7.3,7,4,2.2,0,4,TRUE,FALSE,"None",0,NA,NA,0,0,6,8,NA,15.6,3.18166666666667,0.09,0,0,0,30,66,30,168,24,6.4,0.098,8.2,0.12,"No treatment","Deep incorp.",0,9.8
