"sid","descrip","bc","bsth","ts","os","cs","bc.red","bsth.red","ts.red","os.red","cs.red","bsth.bc.red","ts.bc.red","os.bc.red","cs.bc.red","ts.bsth.red","os.bsth.red","cs.bsth.red"
1,"ref",0.38,0.29,0.29,0.19,0.29,0,0,0,0,0,24,24,50,24,0,35,0
2,"low DM",0.27,0.24,0.24,0.16,0.24,28,16,16,12,16,11,11,39,11,0,31,0
3,"high DM",0.51,0.32,0.32,0.23,0.32,-35,-11,-11,-22,-11,38,38,55,38,0,28,0
4,"pig",0.38,0.29,0.29,0.19,0.29,0,0,0,0,0,24,24,50,24,0,35,0
5,"low application",0.44,0.32,0.32,0.21,0.32,-17,-11,-11,-11,-11,28,28,53,28,0,35,0
6,"high application",0.29,0.24,0.24,0.17,0.24,23,15,15,11,15,17,17,43,17,0,31,0
7,"shallow incorp",0.34,0.25,0.25,0.17,0.25,9.2,12,12,7.7,12,26,26,49,26,0,31,0
8,"deep incorp",0.23,0.13,0.13,0.084,0.13,38,54,54,55,54,44,44,64,44,0,36,0
9,"shallow incorp quick",0.27,0.23,0.23,0.16,0.23,28,20,20,13,20,15,15,40,15,0,29,0
10,"cold",0.23,0.16,0.16,0.11,0.16,40,45,45,42,45,31,31,52,31,0,31,0
11,"cool",0.31,0.22,0.22,0.15,0.22,18,24,24,22,24,29,29,53,29,0,33,0
12,"warm",0.45,0.38,0.38,0.24,0.38,-18,-31,-31,-30,-31,16,16,45,16,0,35,0
13,"hot",0.57,0.55,0.55,0.37,0.55,-50,-90,-90,-98,-90,3.3,3.3,34,3.3,0,32,0
14,"cooling",0.42,0.36,0.36,0.22,0.36,-12,-25,-25,-17,-25,15,15,48,15,0,39,0
15,"warming",0.31,0.24,0.24,0.17,0.24,17,17,17,10,17,24,24,46,24,0,29,0
16,"still",0.36,0.27,0.27,0.18,0.27,4.6,6.3,6.3,4,6.3,25,25,50,25,0,33,0
17,"windy",0.41,0.34,0.34,0.21,0.34,-9.4,-19,-19,-12,-19,18,18,49,18,0,38,0
18,"light rain",0.3,0.22,0.22,0.15,0.22,21,22,22,21,22,26,26,50,26,0,33,0
19,"moderate rain",0.078,0.074,0.074,0.056,0.074,79,74,74,70,74,5,5,28,5,0,25,0
20,"heavy rain",0.0098,0.0098,0.0098,0.0074,0.0098,97,97,97,96,97,0.0021,0.0021,25,0.0021,0,25,0
21,"pH 6.4",0.22,0.14,0.14,0.093,0.14,43,51,51,50,51,36,36,57,36,0,33,0
22,"pH 6",0.17,0.11,0.11,0.072,0.11,56,63,63,62,63,36,36,57,36,0,32,0
23,"tall cereal",0.38,0.29,0.29,0.19,0.29,0,0,0,0,0,24,24,50,24,0,35,0
24,"low DM, high application, cold, still",0.15,0.13,0.13,0.098,0.13,61,54,54,48,54,9.8,9.8,33,9.8,0,26,0
25,"high DM, low application, hot, windy",0.86,0.82,0.82,0.64,0.82,-130,-180,-180,-240,-180,4.8,4.8,26,4.8,0,22,0
26,"high DM, low application, hot, windy, pH 6",0.73,0.54,0.54,0.4,0.54,-93,-88,-88,-110,-88,26,26,45,26,0,26,0
27,"best",0.022,0.022,0.022,0.017,0.022,94,92,92,91,92,1.6,1.6,26,1.6,0,25,0
