"sid","descrip","bc","bsth","ts","os","cs","bc.red","bsth.red","ts.red","os.red","cs.red","bsth.bc.red","ts.bc.red","os.bc.red","cs.bc.red","ts.bsth.red","os.bsth.red","cs.bsth.red"
1,"ref",0.48,0.3,0.26,0.16,0.021,0,0,0,0,0,37,45,66,96,13,45,93
2,"low DM",0.37,0.18,0.17,0.12,0.021,23,41,35,28,0.71,52,54,68,94,4,33,88
3,"high DM",0.71,0.47,0.32,0.29,0.022,-48,-58,-22,-75,-2.9,33,55,60,97,33,40,95
4,"pig",0.41,0.22,0.2,0.13,0.021,14,26,24,18,0.47,46,52,68,95,11,40,90
5,"low application",0.54,0.37,0.31,0.16,0.021,-12,-22,-20,0,0,32,41,69,96,14,55,94
6,"high application",0.41,0.22,0.19,0.16,0.021,15,28,26,1.7e-13,-6.6e-12,47,53,60,95,11,24,90
7,"shallow incorp",0.31,0.14,0.097,0.065,0.006,36,53,63,60,72,54,68,79,98,31,54,96
8,"deep incorp",0.25,0.084,0.039,0.033,0.0016,49,72,85,80,93,66,84,87,99,54,61,98
9,"shallow incorp quick",0.17,0.09,0.077,0.048,0.0057,64,70,71,71,73,48,56,73,97,15,47,94
10,"cold",0.45,0.2,0.14,0.13,0.021,5.6,35,47,22,0.53,57,69,72,95,29,34,89
11,"cool",0.47,0.26,0.2,0.15,0.021,1.4,12,22,7.6,0.19,44,57,68,95,23,43,92
12,"warm",0.48,0.32,0.3,0.17,0.021,-0.57,-6.3,-16,-3.9,-0.098,34,37,65,96,5,47,93
13,"hot",0.48,0.33,0.33,0.17,0.021,-0.8,-9.3,-25,-5.7,-0.14,32,32,64,96,0.44,47,93
14,"cooling",0.48,0.32,0.31,0.17,0.021,-0.66,-7.5,-19,-4.6,-0.12,33,36,65,96,3.6,47,93
15,"warming",0.47,0.25,0.2,0.15,0.021,2.9,17,22,10,0.26,46,56,69,95,19,41,91
16,"still",0.47,0.27,0.21,0.15,0.021,1.2,11,20,6.8,0.17,44,56,68,95,22,43,92
17,"windy",0.48,0.33,0.32,0.17,0.021,-0.75,-8.7,-23,-5.3,-0.13,33,33,64,96,1.4,47,93
18,"light rain",0.48,0.29,0.25,0.16,0.021,1,3.9,4,2.4,0.06,39,47,66,95,13,45,93
19,"moderate rain",0.36,0.11,0.1,0.1,0.021,25,62,61,39,0.97,69,72,72,94,9.4,11,81
20,"heavy rain",0.3,0.095,0.095,0.095,0.021,37,69,64,42,1.1,69,69,69,93,0.0014,0.0015,78
21,"pH 6.4",0.37,0.19,0.13,0.1,0.012,23,36,51,39,45,48,66,73,97,34,48,94
22,"pH 6",0.33,0.14,0.088,0.077,0.0095,32,52,66,53,56,56,73,76,97,39,47,93
23,"tall cereal",0.48,0.3,0.086,0.16,0.021,0,0,67,0,0,37,82,66,96,71,45,93
24,"low DM, high application, cold, still",0.33,0.11,0.1,0.11,0.021,31,62,60,36,0.9,66,69,68,94,9.9,8,82
25,"high DM, low application, hot, windy",0.8,0.74,0.74,0.38,0.022,-67,-150,-180,-130,-4.9,7.4,7.5,52,97,0.16,48,97
26,"high DM, low application, hot, windy, pH 6",0.76,0.72,0.71,0.35,0.011,-58,-140,-170,-110,50,4.6,6.2,54,99,1.7,52,99
27,"best",0.0098,0.0028,0.0025,0.0025,0.00052,98,99,99,98,98,72,74,74,95,7.6,9.2,81
