"ID","Decade","Application period","Application method","Crop","Crop height (cm)","Incorporation time (h)","Manure source","Manure treatment","Air temperature (deg. C)","Wind speed (m/s)","Emission factor (% of applied TAN)"
"0001-1980",1980,"March","Open slot injection","None",0,"None","Cattle","None",2.4,3.8,10.3
"0001-1990",1990,"March","Open slot injection","None",0,"None","Cattle","None",3.5,3.9,10.7
"0001-2000",2000,"March","Open slot injection","None",0,"None","Cattle","None",3.1,3.5,10.3
"0001-2010",2010,"March","Open slot injection","None",0,"None","Cattle","None",4,3.5,10.7
"0002-1980",1980,"April","Open slot injection","None",0,"None","Cattle","None",5.9,3.3,11.6
"0002-1990",1990,"April","Open slot injection","None",0,"None","Cattle","None",6.7,3.5,12
"0002-2000",2000,"April","Open slot injection","None",0,"None","Cattle","None",7.6,3,12
"0002-2010",2010,"April","Open slot injection","None",0,"None","Cattle","None",7.6,3.4,12.2
"0003-1980",1980,"March","Open slot injection","Grass",10,"None","Cattle","None",2.4,3.8,10.3
"0003-1990",1990,"March","Open slot injection","Grass",10,"None","Cattle","None",3.5,3.9,10.7
"0003-2000",2000,"March","Open slot injection","Grass",10,"None","Cattle","None",3.1,3.5,10.3
"0003-2010",2010,"March","Open slot injection","Grass",10,"None","Cattle","None",4,3.5,10.7
"0004-1980",1980,"April","Open slot injection","Grass",10,"None","Cattle","None",5.9,3.3,11.6
"0004-1990",1990,"April","Open slot injection","Grass",10,"None","Cattle","None",6.7,3.5,12
"0004-2000",2000,"April","Open slot injection","Grass",10,"None","Cattle","None",7.6,3,12
"0004-2010",2010,"April","Open slot injection","Grass",10,"None","Cattle","None",7.6,3.4,12.2
"0005-1980",1980,"Summer, grass","Open slot injection","Grass",10,"None","Cattle","None",13.8,2.88,16.1
"0005-1990",1990,"Summer, grass","Open slot injection","Grass",10,"None","Cattle","None",14.4,2.82,16.2
"0005-2000",2000,"Summer, grass","Open slot injection","Grass",10,"None","Cattle","None",14.9,2.75,15.9
"0005-2010",2010,"Summer, grass","Open slot injection","Grass",10,"None","Cattle","None",14.8,2.85,16
"0006-1980",1980,"Summer, before winter rapeseed","Open slot injection","None",0,"None","Cattle","None",15.1,2.95,17.2
"0006-1990",1990,"Summer, before winter rapeseed","Open slot injection","None",0,"None","Cattle","None",16.5,2.7,17.5
"0006-2000",2000,"Summer, before winter rapeseed","Open slot injection","None",0,"None","Cattle","None",16.8,2.6,16.9
"0006-2010",2010,"Summer, before winter rapeseed","Open slot injection","None",0,"None","Cattle","None",16.6,2.7,17
"0007-1980",1980,"Autumn","Open slot injection","Grass",10,"None","Cattle","None",12.7,3,15.5
"0007-1990",1990,"Autumn","Open slot injection","Grass",10,"None","Cattle","None",12.8,2.9,15.2
"0007-2000",2000,"Autumn","Open slot injection","Grass",10,"None","Cattle","None",13.7,2.9,15.3
"0007-2010",2010,"Autumn","Open slot injection","Grass",10,"None","Cattle","None",13.7,3,15.4
"0008-1980",1980,"Autumn","Open slot injection","None",0,"None","Cattle","None",12.7,3,15.5
"0008-1990",1990,"Autumn","Open slot injection","None",0,"None","Cattle","None",12.8,2.9,15.2
"0008-2000",2000,"Autumn","Open slot injection","None",0,"None","Cattle","None",13.7,2.9,15.3
"0008-2010",2010,"Autumn","Open slot injection","None",0,"None","Cattle","None",13.7,3,15.4
"0009-1980",1980,"March","Trailing hose","None",0,"24.0","Cattle","None",2.4,3.8,9.85
"0009-1990",1990,"March","Trailing hose","None",0,"24.0","Cattle","None",3.5,3.9,10.9
"0009-2000",2000,"March","Trailing hose","None",0,"24.0","Cattle","None",3.1,3.5,10.1
"0009-2010",2010,"March","Trailing hose","None",0,"24.0","Cattle","None",4,3.5,10.8
"0010-1980",1980,"March","Trailing hose","None",0,"12.0","Cattle","None",2.4,3.8,8.38
"0010-1990",1990,"March","Trailing hose","None",0,"12.0","Cattle","None",3.5,3.9,9.31
"0010-2000",2000,"March","Trailing hose","None",0,"12.0","Cattle","None",3.1,3.5,8.58
"0010-2010",2010,"March","Trailing hose","None",0,"12.0","Cattle","None",4,3.5,9.22
"0011-1980",1980,"March","Trailing hose","None",0,"6.0","Cattle","None",2.4,3.8,7.31
"0011-1990",1990,"March","Trailing hose","None",0,"6.0","Cattle","None",3.5,3.9,8.06
"0011-2000",2000,"March","Trailing hose","None",0,"6.0","Cattle","None",3.1,3.5,7.48
"0011-2010",2010,"March","Trailing hose","None",0,"6.0","Cattle","None",4,3.5,8
"0012-1980",1980,"March","Trailing hose","None",0,"4.0","Cattle","None",2.4,3.8,6.87
"0012-1990",1990,"March","Trailing hose","None",0,"4.0","Cattle","None",3.5,3.9,7.53
"0012-2000",2000,"March","Trailing hose","None",0,"4.0","Cattle","None",3.1,3.5,7.02
"0012-2010",2010,"March","Trailing hose","None",0,"4.0","Cattle","None",4,3.5,7.48
"0013-1980",1980,"April","Trailing hose","None",0,"24.0","Cattle","None",5.9,3.3,12.4
"0013-1990",1990,"April","Trailing hose","None",0,"24.0","Cattle","None",6.7,3.5,13.7
"0013-2000",2000,"April","Trailing hose","None",0,"24.0","Cattle","None",7.6,3,13.7
"0013-2010",2010,"April","Trailing hose","None",0,"24.0","Cattle","None",7.6,3.4,14.5
"0014-1980",1980,"April","Trailing hose","None",0,"12.0","Cattle","None",5.9,3.3,10.6
"0014-1990",1990,"April","Trailing hose","None",0,"12.0","Cattle","None",6.7,3.5,11.7
"0014-2000",2000,"April","Trailing hose","None",0,"12.0","Cattle","None",7.6,3,11.7
"0014-2010",2010,"April","Trailing hose","None",0,"12.0","Cattle","None",7.6,3.4,12.5
"0015-1980",1980,"April","Trailing hose","None",0,"6.0","Cattle","None",5.9,3.3,9.1
"0015-1990",1990,"April","Trailing hose","None",0,"6.0","Cattle","None",6.7,3.5,10
"0015-2000",2000,"April","Trailing hose","None",0,"6.0","Cattle","None",7.6,3,10.1
"0015-2010",2010,"April","Trailing hose","None",0,"6.0","Cattle","None",7.6,3.4,10.6
"0016-1980",1980,"April","Trailing hose","None",0,"4.0","Cattle","None",5.9,3.3,8.46
"0016-1990",1990,"April","Trailing hose","None",0,"4.0","Cattle","None",6.7,3.5,9.26
"0016-2000",2000,"April","Trailing hose","None",0,"4.0","Cattle","None",7.6,3,9.3
"0016-2010",2010,"April","Trailing hose","None",0,"4.0","Cattle","None",7.6,3.4,9.8
"0017-1980",1980,"March","Trailing hose","Winter cereal",15,"None","Cattle","None",2.4,3.8,18.1
"0017-1990",1990,"March","Trailing hose","Winter cereal",15,"None","Cattle","None",3.5,3.9,19.1
"0017-2000",2000,"March","Trailing hose","Winter cereal",15,"None","Cattle","None",3.1,3.5,18.5
"0017-2010",2010,"March","Trailing hose","Winter cereal",15,"None","Cattle","None",4,3.5,19.2
"0018-1980",1980,"April","Trailing hose","Winter cereal",25,"None","Cattle","None",5.9,3.3,19.8
"0018-1990",1990,"April","Trailing hose","Winter cereal",25,"None","Cattle","None",6.7,3.5,20.8
"0018-2000",2000,"April","Trailing hose","Winter cereal",25,"None","Cattle","None",7.6,3,21.1
"0018-2010",2010,"April","Trailing hose","Winter cereal",25,"None","Cattle","None",7.6,3.4,21.6
"0019-1980",1980,"May","Trailing hose","Spring cereal",15,"None","Cattle","None",11.1,3.2,27
"0019-1990",1990,"May","Trailing hose","Spring cereal",15,"None","Cattle","None",10.8,3,26.1
"0019-2000",2000,"May","Trailing hose","Spring cereal",15,"None","Cattle","None",11.6,2.9,26.7
"0019-2010",2010,"May","Trailing hose","Spring cereal",15,"None","Cattle","None",11.5,3.1,27
"0020-1980",1980,"Summer","Trailing hose","Grass",10,"None","Cattle","None",14.7,2.77,35
"0020-1990",1990,"Summer","Trailing hose","Grass",10,"None","Cattle","None",15.5,2.77,36
"0020-2000",2000,"Summer","Trailing hose","Grass",10,"None","Cattle","None",16,2.7,35.4
"0020-2010",2010,"Summer","Trailing hose","Grass",10,"None","Cattle","None",16,2.77,35.7
"0021-1980",1980,"Summer","Trailing hose","None",0,"24.0","Cattle","None",14.7,2.77,25.1
"0021-1990",1990,"Summer","Trailing hose","None",0,"24.0","Cattle","None",15.5,2.77,26.2
"0021-2000",2000,"Summer","Trailing hose","None",0,"24.0","Cattle","None",16,2.7,25.4
"0021-2010",2010,"Summer","Trailing hose","None",0,"24.0","Cattle","None",16,2.77,25.8
"0022-1980",1980,"Summer","Trailing hose","None",0,"12.0","Cattle","None",14.7,2.77,22.5
"0022-1990",1990,"Summer","Trailing hose","None",0,"12.0","Cattle","None",15.5,2.77,23.8
"0022-2000",2000,"Summer","Trailing hose","None",0,"12.0","Cattle","None",16,2.7,23.4
"0022-2010",2010,"Summer","Trailing hose","None",0,"12.0","Cattle","None",16,2.77,23.7
"0023-1980",1980,"Summer","Trailing hose","None",0,"6.0","Cattle","None",14.7,2.77,19.2
"0023-1990",1990,"Summer","Trailing hose","None",0,"6.0","Cattle","None",15.5,2.77,20.4
"0023-2000",2000,"Summer","Trailing hose","None",0,"6.0","Cattle","None",16,2.7,20.3
"0023-2010",2010,"Summer","Trailing hose","None",0,"6.0","Cattle","None",16,2.77,20.6
"0024-1980",1980,"Summer","Trailing hose","None",0,"4.0","Cattle","None",14.7,2.77,17.3
"0024-1990",1990,"Summer","Trailing hose","None",0,"4.0","Cattle","None",15.5,2.77,18.4
"0024-2000",2000,"Summer","Trailing hose","None",0,"4.0","Cattle","None",16,2.7,18.4
"0024-2010",2010,"Summer","Trailing hose","None",0,"4.0","Cattle","None",16,2.77,18.6
"0025-1980",1980,"Autumn","Trailing hose","Grass",15,"None","Cattle","None",12.7,3,32
"0025-1990",1990,"Autumn","Trailing hose","Grass",15,"None","Cattle","None",12.8,2.9,31.6
"0025-2000",2000,"Autumn","Trailing hose","Grass",15,"None","Cattle","None",13.7,2.9,32.3
"0025-2010",2010,"Autumn","Trailing hose","Grass",15,"None","Cattle","None",13.7,3,32.7
"0026-1980",1980,"Autumn","Trailing hose","None",0,"24.0","Cattle","None",12.7,3,22
"0026-1990",1990,"Autumn","Trailing hose","None",0,"24.0","Cattle","None",12.8,2.9,21.6
"0026-2000",2000,"Autumn","Trailing hose","None",0,"24.0","Cattle","None",13.7,2.9,22.3
"0026-2010",2010,"Autumn","Trailing hose","None",0,"24.0","Cattle","None",13.7,3,22.7
"0027-1980",1980,"Autumn","Trailing hose","None",0,"12.0","Cattle","None",12.7,3,19.4
"0027-1990",1990,"Autumn","Trailing hose","None",0,"12.0","Cattle","None",12.8,2.9,19.1
"0027-2000",2000,"Autumn","Trailing hose","None",0,"12.0","Cattle","None",13.7,2.9,20
"0027-2010",2010,"Autumn","Trailing hose","None",0,"12.0","Cattle","None",13.7,3,20.4
"0028-1980",1980,"Autumn","Trailing hose","None",0,"6.0","Cattle","None",12.7,3,16.4
"0028-1990",1990,"Autumn","Trailing hose","None",0,"6.0","Cattle","None",12.8,2.9,16.2
"0028-2000",2000,"Autumn","Trailing hose","None",0,"6.0","Cattle","None",13.7,2.9,17.1
"0028-2010",2010,"Autumn","Trailing hose","None",0,"6.0","Cattle","None",13.7,3,17.5
"0029-1980",1980,"Autumn","Trailing hose","None",0,"4.0","Cattle","None",12.7,3,14.9
"0029-1990",1990,"Autumn","Trailing hose","None",0,"4.0","Cattle","None",12.8,2.9,14.7
"0029-2000",2000,"Autumn","Trailing hose","None",0,"4.0","Cattle","None",13.7,2.9,15.5
"0029-2010",2010,"Autumn","Trailing hose","None",0,"4.0","Cattle","None",13.7,3,15.8
"0030-1980",1980,"Winter-spring","Broadcast","None",0,"< 12 hours","Cattle","None",10,3.13,33.8
"0030-1990",1990,"Winter-spring","Broadcast","None",0,"< 12 hours","Cattle","None",10.4,3.12,33
"0030-2000",2000,"Winter-spring","Broadcast","None",0,"< 12 hours","Cattle","None",11,2.98,30.6
"0030-2010",2010,"Winter-spring","Broadcast","None",0,"< 12 hours","Cattle","None",11.1,3.07,31.4
"0031-1980",1980,"Winter-spring","Broadcast","None",0,"> 12 hours","Cattle","None",10,3.13,33.8
"0031-1990",1990,"Winter-spring","Broadcast","None",0,"> 12 hours","Cattle","None",10.4,3.12,33
"0031-2000",2000,"Winter-spring","Broadcast","None",0,"> 12 hours","Cattle","None",11,2.98,30.6
"0031-2010",2010,"Winter-spring","Broadcast","None",0,"> 12 hours","Cattle","None",11.1,3.07,31.4
"0032-1980",1980,"Winter-spring","Broadcast","None",0,"None","Cattle","None",10,3.13,42.7
"0032-1990",1990,"Winter-spring","Broadcast","None",0,"None","Cattle","None",10.4,3.12,41.9
"0032-2000",2000,"Winter-spring","Broadcast","None",0,"None","Cattle","None",11,2.98,39.8
"0032-2010",2010,"Winter-spring","Broadcast","None",0,"None","Cattle","None",11.1,3.07,40.4
"0033-1980",1980,"Spring-summer","Broadcast","Cereal and grass",15,"None","Cattle","None",12.2,2.96,45.3
"0033-1990",1990,"Spring-summer","Broadcast","Cereal and grass",15,"None","Cattle","None",12.8,2.96,44.5
"0033-2000",2000,"Spring-summer","Broadcast","Cereal and grass",15,"None","Cattle","None",13.4,2.8,41.9
"0033-2010",2010,"Spring-summer","Broadcast","Cereal and grass",15,"None","Cattle","None",13.4,2.96,42.5
"0034-1980",1980,"Late summer-autumn","Broadcast","Grass",10,"None","Cattle","None",14.3,2.97,47.6
"0034-1990",1990,"Late summer-autumn","Broadcast","Grass",10,"None","Cattle","None",15.2,2.77,46.6
"0034-2000",2000,"Late summer-autumn","Broadcast","Grass",10,"None","Cattle","None",15.8,2.7,43.6
"0034-2010",2010,"Late summer-autumn","Broadcast","Grass",10,"None","Cattle","None",15.7,2.8,44.2
"0035-1980",1980,"Late summer-autumn","Broadcast","None",0,"< 12 hours","Cattle","None",14.3,2.97,39.1
"0035-1990",1990,"Late summer-autumn","Broadcast","None",0,"< 12 hours","Cattle","None",15.2,2.77,37.8
"0035-2000",2000,"Late summer-autumn","Broadcast","None",0,"< 12 hours","Cattle","None",15.8,2.7,34.2
"0035-2010",2010,"Late summer-autumn","Broadcast","None",0,"< 12 hours","Cattle","None",15.7,2.8,34.8
"0036-1980",1980,"Late summer-autumn","Broadcast","None",0,"> 12 hours","Cattle","None",14.3,2.97,39.1
"0036-1990",1990,"Late summer-autumn","Broadcast","None",0,"> 12 hours","Cattle","None",15.2,2.77,37.8
"0036-2000",2000,"Late summer-autumn","Broadcast","None",0,"> 12 hours","Cattle","None",15.8,2.7,34.2
"0036-2010",2010,"Late summer-autumn","Broadcast","None",0,"> 12 hours","Cattle","None",15.7,2.8,34.8
"0037-1980",1980,"Late summer-autumn","Broadcast","None",0,"None","Cattle","None",14.3,2.97,47.6
"0037-1990",1990,"Late summer-autumn","Broadcast","None",0,"None","Cattle","None",15.2,2.77,46.6
"0037-2000",2000,"Late summer-autumn","Broadcast","None",0,"None","Cattle","None",15.8,2.7,43.6
"0037-2010",2010,"Late summer-autumn","Broadcast","None",0,"None","Cattle","None",15.7,2.8,44.2
"0038-1980",1980,"March","Open slot injection","None",0,"None","Pig","None",2.4,3.8,10.9
"0038-1990",1990,"March","Open slot injection","None",0,"None","Pig","None",3.5,3.9,11.3
"0038-2000",2000,"March","Open slot injection","None",0,"None","Pig","None",3.1,3.5,11.1
"0038-2010",2010,"March","Open slot injection","None",0,"None","Pig","None",4,3.5,11.4
"0039-1980",1980,"April","Open slot injection","None",0,"None","Pig","None",5.9,3.3,11.8
"0039-1990",1990,"April","Open slot injection","None",0,"None","Pig","None",6.7,3.5,12.2
"0039-2000",2000,"April","Open slot injection","None",0,"None","Pig","None",7.6,3,12.4
"0039-2010",2010,"April","Open slot injection","None",0,"None","Pig","None",7.6,3.4,12.5
"0040-1980",1980,"March","Open slot injection","Grass",10,"None","Pig","None",2.4,3.8,10.9
"0040-1990",1990,"March","Open slot injection","Grass",10,"None","Pig","None",3.5,3.9,11.3
"0040-2000",2000,"March","Open slot injection","Grass",10,"None","Pig","None",3.1,3.5,11.1
"0040-2010",2010,"March","Open slot injection","Grass",10,"None","Pig","None",4,3.5,11.4
"0041-1980",1980,"April","Open slot injection","Grass",10,"None","Pig","None",5.9,3.3,11.8
"0041-1990",1990,"April","Open slot injection","Grass",10,"None","Pig","None",6.7,3.5,12.2
"0041-2000",2000,"April","Open slot injection","Grass",10,"None","Pig","None",7.6,3,12.4
"0041-2010",2010,"April","Open slot injection","Grass",10,"None","Pig","None",7.6,3.4,12.5
"0042-1980",1980,"Summer, grass","Open slot injection","Grass",10,"None","Pig","None",13.8,2.88,14.1
"0042-1990",1990,"Summer, grass","Open slot injection","Grass",10,"None","Pig","None",14.4,2.82,14.5
"0042-2000",2000,"Summer, grass","Open slot injection","Grass",10,"None","Pig","None",14.9,2.75,14.7
