"decade","app.timing","app.mthd","crop.status","incorp","incorp.timing","man.source","None","Barn acidified","Field acidified","rr6.4","rr6.0"
2010,"Summer","Trailing hose","-","Shallow","4.0","Pig",13.3,3.99,5.57,58.1,70
2010,"Summer","Trailing hose","-","Shallow","4.0","Digestate",22.8,NA,NA,NA,NA
2010,"Summer","Trailing hose","-","Shallow","6.0","Cattle",20.6,5.81,8.59,58.3,71.8
2010,"Summer","Trailing hose","-","Shallow","6.0","Pig",14.1,4.31,6.04,57.2,69.4
2010,"Summer","Trailing hose","-","Shallow","6.0","Digestate",24.3,NA,NA,NA,NA
2010,"Summer","Trailing hose","+","None","None","Cattle",35.7,13.3,18.3,48.7,62.7
2010,"Summer","Trailing hose","+","None","None","Pig",29.2,10.9,14.4,50.7,62.7
2010,"Summer","Trailing hose","+","None","None","Digestate",40.6,NA,NA,NA,NA
2010,"Summer, before winter rapeseed","Open slot injection","-","None","None","Cattle",17,NA,NA,NA,NA
2010,"Summer, before winter rapeseed","Open slot injection","-","None","None","Pig",15.3,NA,NA,NA,NA
2010,"Summer, before winter rapeseed","Open slot injection","-","None","None","Digestate",20.4,NA,NA,NA,NA
2010,"Summer, grass","Open slot injection","+","None","None","Cattle",16,NA,NA,NA,NA
2010,"Summer, grass","Open slot injection","+","None","None","Pig",14.7,NA,NA,NA,NA
2010,"Summer, grass","Open slot injection","+","None","None","Digestate",19.7,NA,NA,NA,NA
2010,"Late summer-autumn","Broadcast","-","None","None","Cattle",44.2,25.5,31.3,29.2,42.3
2010,"Late summer-autumn","Broadcast","-","None","None","Pig",30.4,14.8,18,40.8,51.3
2010,"Late summer-autumn","Broadcast","-","None","None","Digestate",43.1,NA,NA,NA,NA
2010,"Late summer-autumn","Broadcast","-","Shallow","< 12 hours","Cattle",34.8,19.7,25.2,27.6,43.4
2010,"Late summer-autumn","Broadcast","-","Shallow","< 12 hours","Pig",16.9,9.55,11.4,32.5,43.5
2010,"Late summer-autumn","Broadcast","-","Shallow","< 12 hours","Digestate",29.3,NA,NA,NA,NA
2010,"Late summer-autumn","Broadcast","-","Shallow","> 12 hours","Cattle",34.8,19.7,25.2,27.6,43.4
2010,"Late summer-autumn","Broadcast","-","Shallow","> 12 hours","Pig",16.9,9.55,11.4,32.5,43.5
2010,"Late summer-autumn","Broadcast","-","Shallow","> 12 hours","Digestate",29.3,NA,NA,NA,NA
2010,"Late summer-autumn","Broadcast","+","None","None","Cattle",44.2,25.5,31.3,29.2,42.3
2010,"Late summer-autumn","Broadcast","+","None","None","Pig",30.4,14.8,18,40.8,51.3
2010,"Late summer-autumn","Broadcast","+","None","None","Digestate",43.1,NA,NA,NA,NA
2010,"Autumn","Trailing hose","-","None","None","Cattle",32.7,11.6,16,51.1,64.5
2010,"Autumn","Trailing hose","-","None","None","Pig",NA,9.93,13.3,NA,NA
2010,"Autumn","Trailing hose","-","Shallow","12.0","Cattle",20.4,5.64,8.37,59,72.4
2010,"Autumn","Trailing hose","-","Shallow","12.0","Pig",14.3,4.33,6.08,57.5,69.7
2010,"Autumn","Trailing hose","-","Shallow","12.0","Digestate",24.1,NA,NA,NA,NA
2010,"Autumn","Trailing hose","-","Shallow","24.0","Cattle",22.7,6.66,9.81,56.8,70.7
2010,"Autumn","Trailing hose","-","Shallow","24.0","Pig",15.7,5.08,7.07,55,67.6
2010,"Autumn","Trailing hose","-","Shallow","24.0","Digestate",25.7,NA,NA,NA,NA
2010,"Autumn","Trailing hose","-","Shallow","4.0","Cattle",15.8,4.4,6.45,59.2,72.2
2010,"Autumn","Trailing hose","-","Shallow","4.0","Pig",12.1,3.49,4.88,59.7,71.2
2010,"Autumn","Trailing hose","-","Shallow","4.0","Digestate",20.4,NA,NA,NA,NA
2010,"Autumn","Trailing hose","-","Shallow","6.0","Cattle",17.5,4.78,7.06,59.7,72.7
2010,"Autumn","Trailing hose","-","Shallow","6.0","Pig",12.9,3.74,5.26,59.2,71
2010,"Autumn","Trailing hose","-","Shallow","6.0","Digestate",22,NA,NA,NA,NA
2010,"Autumn","Trailing hose","+","None","None","Cattle",32.7,11.6,16,51.1,64.5
2010,"Autumn","Trailing hose","+","None","None","Pig",27.8,9.93,13.3,52.2,64.3
2010,"Autumn","Trailing hose","+","None","None","Digestate",38.6,NA,NA,NA,NA
2010,"Autumn","Open slot injection","-","None","None","Cattle",15.4,NA,NA,NA,NA
2010,"Autumn","Open slot injection","-","None","None","Pig",14.4,NA,NA,NA,NA
2010,"Autumn","Open slot injection","-","None","None","Digestate",19.2,NA,NA,NA,NA
2010,"Autumn","Open slot injection","+","None","None","Cattle",15.4,NA,NA,NA,NA
2010,"Autumn","Open slot injection","+","None","None","Pig",14.4,NA,NA,NA,NA
2010,"Autumn","Open slot injection","+","None","None","Digestate",19.2,NA,NA,NA,NA
2010,"Winter-spring","Broadcast","-","Shallow","< 12 hours","Cattle",31.4,12.9,18.1,42.4,58.9
2010,"Winter-spring","Broadcast","-","Shallow","< 12 hours","Pig",15.9,7.32,9.53,40.1,54
2010,"Winter-spring","Broadcast","-","Shallow","< 12 hours","Digestate",27.8,NA,NA,NA,NA
2010,"Winter-spring","Broadcast","-","Shallow","> 12 hours","Cattle",31.4,12.9,18.1,42.4,58.9
2010,"Winter-spring","Broadcast","-","Shallow","> 12 hours","Pig",15.9,7.32,9.53,40.1,54
2010,"Winter-spring","Broadcast","-","Shallow","> 12 hours","Digestate",27.8,NA,NA,NA,NA
2010,"Winter-spring","Broadcast","-/+","None","None","Cattle",40.4,19,25.1,37.9,53
2010,"Winter-spring","Broadcast","-/+","None","None","Pig",28.4,12.5,15.9,44,56
2010,"Winter-spring","Broadcast","-/+","None","None","Digestate",40.8,NA,NA,NA,NA
